"Here are the results! We had 76 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
11,street,ASP,Steven Dalbec,03 Chevrolet/Corvette,80.625,(2),63.340, ,63.372, ,DNS, ,63.340,48,53.712,60,838,,,,
12,street,ASP,Greg Mondeau,00 BMW/M roadster,72.588, ,67.141, ,66.908, ,69.509,(2),66.908,66,56.738,73,793,,,,
13,street,SM,Spencer Yarter,99 pontiac/grand prix,94.374,(22),89.434,(20),70.070, ,68.396,(2),68.396,71,57.316,74,785,,,,
1,TO,STS,Andy Hollis,89 Honda/Civic Si,56.810, ,59.476,(2),59.541,(2),57.314, ,56.810, ,44.937, ,1002,,,,
2,TO,STS,David Rock,03 Toyota/Celica GTS,67.413,(2),58.063, ,58.208, ,58.636, ,58.063, ,45.928, ,980,,,,
3,TO,STS,Ann Hollis,89 Honda/Civic Si,58.107, ,59.625,(2),59.745,(2),58.191, ,58.107, ,45.963, ,979,,,,
4,TO,GS,Dane Campbell,03 MINI/Cooper S,60.618,(2),84.992,(24),59.250, ,79.146,(20),59.250, ,46.274, ,973,,,,
5,TO,DSP,Brian Peters,95 Acura/Integra,57.502, ,59.281,(2),56.811, ,56.736, ,56.736, ,46.467, ,969,,,,
6,TO,HS,Dawn Maxwell,02 MINI/Cooper,64.257,(4),63.734,(4),60.338, ,61.924,(2),60.338, ,46.822, ,961,,,,
7,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,59.945, ,60.681, ,64.386, ,59.615, ,59.615, ,47.155, ,955,,,,
8,TO,ESP,Larry Petrucci,95 Pontiac/Firebird,57.600, ,64.786,(4),59.064,(2),60.782,(4),57.600, ,47.462, ,948,,,,
9,TO,STX,Mike Quigley,02 subaru/wrx,64.665,(4),61.416,(2),61.485,(2),59.762, ,59.762, ,47.511, ,947,,,,
10,TO,DSP,Ben Clement,95 Acura/Integra GSR,59.030, ,60.153,(2),58.284, ,80.805,(22),58.284, ,47.735, ,943,,,,
11,TO,HS,Mark Johnson,02 MINI/Cooper,67.405, ,62.550,(2),61.596, ,62.621,(2),61.596, ,47.798, ,942,,,,
12,TO,HS,David Webb,01 Ford/Focus,63.093, ,64.354,(2),61.698, ,DNF, ,61.698, ,47.878, ,940,,,,
13,TO,STX,Fernando Ma,02 Volkswagen/GTI,60.794, ,66.238,(2),70.745,(6),63.324, ,60.794, ,48.331, ,931,,,,
14,TO,STS,Ed Prather,96 Nissan/240,63.376,(2),61.211, ,61.170, ,66.858,(4),61.170, ,48.385, ,930,,,,
15,TO,SS,Kim Kemper,03 Chev/corvette,59.642, ,59.397, ,57.947, ,59.007, ,57.947, ,48.444, ,929,,,,
16,TO,GS,Chris Sparling,02 Saab/9-3,62.090, ,70.221,(4),DNS, ,DNS, ,62.090, ,48.492, ,928,,,,
17,TO,GS,Brad Owen,01 Nissan/Sentra,64.154, ,62.827, ,62.528, ,66.605,(4),62.528, ,48.834, ,922,,,,
18,TO,AS,Steve Ryan,91 Chevrolet/Corvette,61.515,(2),59.214, ,81.806,(22),60.857,(2),59.214, ,49.029, ,918,,,,
19,TO,SM2,Keith Lensch,98 chevrolet/corvette,60.415,(2),57.944, ,58.067, ,58.897, ,57.944, ,49.194, ,915,,,,
20,TO,DM,David Lahey,94 Mazda/Miata R,56.385, ,55.740, ,55.613, ,DNF, ,55.613, ,49.273, ,914,,,,
21,TO,STX,Jeff Braciak,01 Pontiac/Firebird,63.135, ,66.914,(2),63.813,(2),62.131, ,62.131, ,49.394, ,911,,,,
22,TO,ASP,Mindi Cross,65 Lotus/Elan,59.309, ,61.284,(2),58.367,(2),85.191,(20),58.367, ,49.495, ,909,,,,
