"Here are the results! We had 71 competitors for the Event, and 43 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
7,TO,FS,Roy Coombes,93 FORD/MUSTANG COBRA,59.512, ,59.657, ,DNF, ,61.853,(2),59.512, ,47.788, ,930,,,,
8,TO,STX,Mike Quigley,02 subaru/wrx,60.200, ,61.799,(2),60.296, ,65.788,(6),60.200, ,47.859, ,929,,,,
9,TO,STX,Fernando Ma,02 Volkswagen/GTI,68.233,(6),61.924,(2),60.292, ,62.372, ,60.292, ,47.932, ,927,,,,
10,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,57.474, ,60.643,(4),60.944,(4),57.327, ,57.327, ,48.097, ,924,,,,
11,TO,DSP,Ben Clement,95 Acura/Integra GSR,62.524,(4),66.423,(6),58.884, ,59.855,(2),58.884, ,48.226, ,922,,,,
12,TO,AS,Dayron Vargas,02 BMW/M3 Convertible,82.598,(22),64.634,(4),58.595, ,65.268,(6),58.595, ,48.517, ,916,,,,
13,TO,DSP,Ron Terrien,95 Honda/Prelude,60.860, ,60.907, ,59.577, ,64.036,(4),59.577, ,48.794, ,911,,,,
14,TO,STX,Jeff Braciak,01 Pontiac/Firebird,62.330, ,62.120, ,72.474,(4),61.734, ,61.734, ,49.079, ,906,,,,
15,TO,GS,Brad Owen,01 Nissan/Sentra SE,65.922, ,67.007,(2),63.231, ,64.300, ,63.231, ,49.383, ,900,,,,
16,TO,EM,Greg Duncan,84 Pontiac/Fiero,55.611, ,55.820, ,55.808, ,55.304, ,55.304, ,49.442, ,899,,,,
17,TO,EM,Tom Hill,84 Pontiac /Fiero,56.297, ,57.995,(2),55.305, ,57.396,(2),55.305, ,49.443, ,899,,,,
18,TO,SS,Kim Kemper,03 Chev/Corvette,60.401, ,64.366,(4),59.399, ,59.196, ,59.196, ,49.488, ,898,,,,
19,TO,DS,Jamal Brewer,04 Dodge/SRT-4,62.904, ,65.033,(2),64.040, ,62.438, ,62.438, ,49.576, ,896,,,,
20,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,63.283, ,62.724, ,69.394,(2),63.172, ,62.724, ,49.803, ,892,,,,
21,TO,ASP,Steve Burger,01 Chev/Corvette,60.961,(4),58.782,(2),79.303,(22),59.227,(2),58.782, ,49.847, ,892,,,,
22,TO,STS,Hunter McDonald,91 Honda/Civic,64.586, ,65.676,(2),63.496, ,68.325,(2),63.496, ,50.225, ,885,,,,
23,TO,STX,Gary Tang,00 Acura/Integra Type R,63.294,(2),80.037,(12),67.055,(2),71.040,(6),63.294, ,50.319, ,883,,,,
24,TO,STS,Christopher Lampe,98 Dodge/Neon,65.738, ,65.808, ,63.927, ,63.673, ,63.673, ,50.365, ,882,,,,
25,TO,STS,Chris Piper,97 Honda/Civic,65.200, ,64.940, ,63.838, ,65.767,(2),63.838, ,50.496, ,880,,,,
26,TO,STS,Peter Femia,00 VW/GTI,64.112, ,63.871, ,66.191,(2),64.919,(2),63.871, ,50.522, ,880,,,,
27,TO,BP,Art Ehman,65 Factory Five/Cobra,60.272, ,58.825, ,59.539, ,59.202, ,58.825, ,50.766, ,875,,,,
28,TO,STX,Greg Mondeau,89 BMW/M3,67.900,(2),66.246,(2),65.224, ,63.943, ,63.943, ,50.835, ,874,,,,
29,TO,AS,Chris Groppi,04 Subaru/WRX STi,61.773, ,62.700, ,62.254, ,61.545, ,61.545, ,50.959, ,872,,,,
30,TO,SM2,Enrique Aviles,82 Mazda/Rx-7,62.002, ,61.056, ,61.303, ,60.403, ,60.403, ,51.282, ,867,,,,
31,TO,CSP,David Lahey,85 Mazda/Miata,62.809, ,61.889, ,61.558, ,62.057, ,61.558, ,51.524, ,863,,,,
32,TO,DS,John Ellis,00 Toyota/Celica GTS,68.503,(4),67.071,(2),64.934, ,67.354, ,64.934, ,51.558, ,862,,,,
33,TO,STS,Adam Stern,91 Honda/Prelude,69.793,(2),66.360, ,70.284,(4),65.393, ,65.393, ,51.726, ,859,,,,
34,TO,SM,Jimmy Cantano,98 Acura/Integra,82.551,(20),62.059, ,62.019, ,61.957, ,61.957, ,51.920, ,856,,,,
35,TO,STS,John Sandoval,02 VW/Jetta GLI,68.649,(2),66.539, ,65.715, ,67.237,(2),65.715, ,51.981, ,855,,,,
36,TO,SM,John Raskob,90 Mitsubishi/Eclipse GSX,62.239, ,63.256, ,63.539, ,63.580, ,62.239, ,52.156, ,852,,,,
37,TO,STS,Dennis Lach,99 subaru/impeza rs,67.737,(2),66.012, ,66.004, ,68.091,(2),66.004, ,52.209, ,851,,,,
38,TO,EM,Bill Schroeder,91 Ford/Mustang GT,66.496, ,59.600, ,60.248, ,58.516, ,58.516, ,52.313, ,850,,,,
39,TO,BS,Brian Malm,86 Porsche/928 S,69.674,(6),63.591, ,71.196, ,65.157,(2),63.591, ,52.526, ,846,,,,
40,TO,DSP,Matt Durban,98 BMW/318ti,64.522,(2),84.648,(22),66.094,(4),71.828,(6),64.522, ,52.844, ,841,,,,
41,TO,BM,Ken Edney,76 Zink/Z10,57.760, ,64.839,(2),56.019, ,DNS, ,56.019, ,52.938, ,840,,,,
42,TO,ESP,Jerimiah Taylor,95 Chevy/Camaro,DNF, ,67.721,(4),64.971,(2),66.836,(4),64.971, ,53.536, ,830,,,,
43,TO,CSP,Ralph Prince,99 Mazda/Miata,81.641,(4),88.968,(8),70.081, ,69.009, ,69.009, ,57.761, ,769,,,,
