"Here are the results! We had 55 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
14,TO,BS,Brady Dohrmann,04 Nissan/350Z,53.893,(4),51.986,(2),52.118,(2),55.754,(6),51.986, ,42.940, ,900,,,,
15,TO,BS,Rob Rockefeller,00 Honda/S2000,56.664,(2),52.184, ,52.524, ,52.333, ,52.184, ,43.104, ,896,,,,
16,TO,BS,Brian Malm,86 Porsche/928 S,58.595,(6),56.255,(2),54.391,(2),52.439, ,52.439, ,43.315, ,892,,,,
17,TO,ESP,Chris Lampe,05 Subaru/Impreza WRX STi,53.628, ,53.026, ,53.298, ,53.779, ,53.026, ,43.693, ,884,,,,
18,TO,SM2,Keith Lensch,98 chevrolet/corvette,51.790, ,55.105,(2),53.353,(2),67.610, ,51.790, ,43.970, ,879,,,,
19,TO,HS,John Wisthoff,01 honda/civic,58.391,(2),57.110, ,56.811, ,56.663, ,56.663, ,43.970, ,879,,,,
20,TO,DSP,Matt Durban,98 BMW/318ti,55.454,(2),57.046,(2),54.492, ,57.846,(4),54.492, ,44.629, ,866,,,,
21,TO,STS,Rob Michaels,95 Nissan/240sx,56.540, ,75.687,(20),57.764,(2),57.942,(2),56.540, ,44.723, ,864,,,,
22,TO,HS,Greg Duncan,88 Pontiac/Fiero,82.127, ,58.993, ,57.905, ,76.179, ,57.905, ,44.934, ,860,,,,
23,TO,SM,John Raskob,90 Mitsubishi/eclipse gsx,54.310, ,55.432, ,55.695,(2),67.300,(2),54.310, ,45.512, ,849,,,,
24,TO,SM,Jeffrey Nappi,95 nissan/240sx,54.314, ,61.746,(2),58.480, ,58.260, ,54.314, ,45.515, ,849,,,,
25,TO,STX,Greg Mondeau,89 BMW/M3,58.572, ,58.547, ,57.461, ,57.756, ,57.461, ,45.681, ,846,,,,
26,TO,ASP,Bob Francis,02 Corvette/Z06,53.917,(2),55.225,(4),54.991,(6),54.114,(2),53.917, ,45.722, ,845,,,,
27,TO,CSP,Drew Wood,92 Mazda/Miata,63.579,(4),58.932, ,55.455, ,57.018, ,55.455, ,46.416, ,832,,,,
28,TO,GS,Juan Chioye,90 Nissan/240sx,61.619, ,81.038,(20),79.798,(20),59.711, ,59.711, ,46.634, ,829,,,,
29,TO,FSP,James Chandler,04 Mitsubishi/Lancer,62.204,(2),59.125, ,62.733,(4),58.627, ,58.627, ,47.664, ,811,,,,
30,TO,FP,Michael Nieto,91 Volkswagen/GTI 8V,55.406, ,56.959,(2),58.618, ,55.439, ,55.406, ,47.760, ,809,,,,
