"Here are the results! We had 97 competitors for the Event, and 39 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
7,novice,CS,Shea Burns,02 Toyota/MR2,79.167, ,80.235, ,78.599, ,79.327, ,78.599,82,63.744,70,835,,,,
8,novice,CSP,Russ Bennett,03 Toyota/MR2,102.888,(22),99.298,(20),97.664,(20),77.336, ,77.336,78,64.730,75,822,,,,
9,novice,GS,Zach Heidepriem,96 Acura/Integra,97.985,(8),85.170, ,83.338, ,84.119, ,83.338,92,65.087,77,818,,,,
10,novice,DSP,Shane Pootrakul,03 BMW/330ZHP,DNF, ,DNF, ,83.203,(6),DNS, ,83.203,91,68.143,86,781,,,,
11,novice,STS,David Hsu,96 Honda Civic,113.611,(20),117.712,(20),101.041,(20),111.566,(20),101.041,97,79.923,97,666,,,,
1,street,DS,Chad Mizner,03 Infiniti/G35 Sedan,71.456, ,71.640, ,70.544, ,70.826, ,70.544,35,56.012,15,950,,,,
2,street,SM,Dave Young,02 BMW/M3,67.879, ,67.475, ,66.883, ,67.726, ,66.883,13,56.048,16,950,,,,
3,street,DS,David Vasquez,03 BMW/330i,78.202, ,75.659,(2),72.304, ,72.180, ,72.180,50,57.311,24,929,,,,
4,street,GS,Brad Owen,01 Nissan/Sentra,75.768, ,DNF, ,73.702, ,73.911, ,73.702,60,57.561,26,925,,,,
5,street,SM,Clint Child,00 acura/integra R,69.363, ,69.945, ,73.081,(4),69.065, ,69.065,21,57.876,29,920,,,,
6,street,CS,Michael Whitehouse,99 Mazda/Miata,72.293, ,73.966,(2),71.688, ,72.243, ,71.688,46,58.139,32,915,,,,
7,street,AS,Jeff Williams,02 BMW/M Roadster,70.240, ,83.874,(14),80.158,(6),71.945, ,70.240,32,58.159,34,915,,,,
8,street,BS,Paul Lialios,00 Porsche/Boxster,70.454, ,70.568, ,73.699,(4),70.684, ,70.454,34,58.195,35,914,,,,
9,street,GS,Harry Berzes,04 Mazda/3,77.533, ,76.314, ,74.917, ,87.717, ,74.917,66,58.510,36,910,,,,
10,street,SM,Todd Houser,03 Mini/S,72.051, ,74.502,(2),71.199, ,69.894, ,69.894,27,58.571,37,909,,,,
11,street,GS,Heather Whitehouse,01 Mazda/Protege MP3,82.972, ,81.990, ,83.541,(2),75.358, ,75.358,71,58.855,42,904,,,,
12,street,CSP,Gary Ray,88 BMW/M3,74.182,(2),70.730, ,71.244, ,70.815, ,70.730,36,59.201,44,899,,,,
13,street,DS,Jack Drummond,4 Dodge/SRT4,78.508, ,76.171, ,76.229, ,75.001, ,75.001,67,59.551,48,894,,,,
14,street,DS,Jamal Brewer,04 Dodge/SRT-4,78.256, ,77.911, ,76.886,(2),75.738,(2),75.738,72,60.136,52,885,,,,
15,street,ESP,Nic Foster,81 BMW/320I,95.508,(22),79.367,(6),73.641, ,81.987, ,73.641,59,60.680,57,877,,,,
16,street,SM,Chris Bunch,02 MINI/Cooper S,82.226, ,72.768, ,74.508,(2),72.731, ,72.731,54,60.949,58,873,,,,
17,street,BS,Greg Mondeau,00 BMW/M coupe,78.865, ,79.260, ,77.835, ,78.732, ,77.835,80,64.292,73,828,,,,
18,street,SS,David Lee,02 Chevrolet/Corvette,85.840, ,80.656, ,77.102, ,96.695,(20),77.102,76,64.457,74,826,,,,
19,street,AP,Dave Koepp,65 Cobra,79.363, ,76.703, ,90.845,(4),75.775, ,75.775,73,65.773,79,809,,,,
20,street,SM2,Greg Toy,91 Toyota/MR2,DNF, ,77.868,(2),93.126,(20),86.999, ,77.868,81,66.110,82,805,,,,
