"Here are the results! We had 71 competitors for the Event, and 36 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
2,TO,DS,Brian Peters,03 Lexus/IS300,42.163, ,49.564,(8),41.742, ,41.614, ,41.614, ,33.042, ,1009,,,,
3,TO,SS,Kim Kemper,03 Chev/Corvette,40.524, ,41.267, ,40.342, ,40.122, ,40.122, ,33.542, ,994,,,,
4,TO,STS,Jon Eddy,00 Subaru/Impreza 2.5 RS,46.556,(2),47.910,(4),43.215, ,43.162, ,43.162, ,34.141, ,977,,,,
5,TO,STS,David Rock,03 Toyota/Celica GTS,43.629, ,44.134, ,43.915, ,43.173, ,43.173, ,34.150, ,977,,,,
6,TO,STX,Mike Quigley,02 subaru/wrx,43.623, ,46.847,(4),46.671,(2),46.471,(4),43.623, ,34.680, ,962,,,,
7,TO,ESP,Larry Petrucci,95 Pontiac/Formula ,43.467, ,43.249, ,42.599, ,42.258, ,42.258, ,34.821, ,958,,,,
8,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,44.524, ,44.050, ,43.894, ,46.586,(2),43.894, ,34.852, ,957,,,,
9,TO,GS,Chris Sparling,02 Saab/9-3,44.744, ,47.932,(2),47.735, ,47.567, ,44.744, ,34.945, ,954,,,,
10,TO,STX,Fernando Ma,02 Volkswagen/GTI,45.701, ,44.800, ,44.271, ,47.394, ,44.271, ,35.195, ,948,,,,
11,TO,HS,Dawn Maxwell,02 MINI/Cooper,48.852,(4),45.917, ,47.265,(2),46.477,(2),45.917, ,35.632, ,936,,,,
12,TO,BS,Jeff Williams,00 bmw/m roadster,43.668, ,45.915,(2),43.146, ,43.708, ,43.146, ,35.639, ,936,,,,
13,TO,EM,Greg Duncan,84 Pontiac/Fiero,40.662, ,40.090, ,40.147, ,40.466, ,40.090, ,35.840, ,931,,,,
14,TO,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,39.339, ,41.206,(2),59.176,(20),39.299, ,39.299, ,35.880, ,930,,,,
15,TO,DSP,Ed Prather,96 Nissan/240,44.649, ,43.922, ,46.882,(2),47.003,(2),43.922, ,35.972, ,927,,,,
16,TO,AS,Dayron Vargas,02 BMW/M3 Convertible,44.835, ,44.029, ,43.958, ,43.762, ,43.762, ,36.235, ,920,,,,
17,TO,STS,Richard Vela,90 Nissan/240SX,55.778, ,46.833, ,46.495, ,45.917, ,45.917, ,36.320, ,918,,,,
18,TO,SM2,Keith Lensch,98 chevrolet/corvette,45.933,(2),43.556, ,48.026,(2),43.046, ,43.046, ,36.546, ,913,,,,
19,TO,AS,Chris Groppi,04 Subaru/WRX STi,45.781, ,45.149, ,45.471, ,44.486, ,44.486, ,36.834, ,905,,,,
20,TO,ASP,Stephen Peterson,01 Cheverolet/Corvette,47.795, ,45.025, ,43.449, ,44.773, ,43.449, ,36.845, ,905,,,,
21,TO,STX,Jeff Braciak,01 Pontiac/Firebird,46.870, ,48.707,(2),48.262, ,48.135, ,46.870, ,37.262, ,895,,,,
22,TO,STS,Hunter McDonald,91 Honda/Civic,47.158, ,47.278, ,49.361,(2),49.359,(2),47.158, ,37.302, ,894,,,,
23,TO,BS,Brian Malm,86 Porsche/928s,45.890, ,45.847, ,52.239,(6),45.522, ,45.522, ,37.601, ,887,,,,
24,TO,STX,Gary Tang,00 Acura/Integra Type R,59.777,(10),52.868,(4),47.421, ,50.481,(2),47.421, ,37.700, ,885,,,,
25,TO,GS,Alejandrina Vargas,92 Nissan/240 SX,54.168, ,52.541, ,48.489, ,51.346, ,48.489, ,37.870, ,881,,,,
26,TO,STX,Jeremy Galo,00 Honda/Prelude Type SH,51.929,(2),47.730, ,66.201,(20),47.874,(2),47.730, ,37.945, ,879,,,,
27,TO,CS,Jason Trible,00 Mazda/Miata,47.917, ,47.458, ,47.420, ,46.818, ,46.818, ,37.969, ,878,,,,
28,TO,DP,Dane Campbell,72 MG/Midget,45.398, ,45.180, ,46.681, ,46.241, ,45.180, ,38.132, ,875,,,,
29,TO,DSP,Ron Terrien,95 Honda/Prelude,46.592, ,50.154,(4),47.006, ,47.024, ,46.592, ,38.159, ,874,,,,
30,TO,STX,Greg Mondeau,89 BMW/M3,49.316, ,48.875, ,48.765, ,48.279, ,48.279, ,38.382, ,869,,,,
31,TO,AS,Dennis Walsh,97 Acura/NSX,49.532,(2),46.559, ,51.014, ,53.657,(6),46.559, ,38.551, ,865,,,,
32,TO,SM,Jimmy Cantano,98 Acura/Integra,46.833, ,49.247, ,47.320, ,46.438, ,46.438, ,38.915, ,857,,,,
33,TO,EP,Enrique Aviles,82 Mazda/Rx-7,46.891, ,47.108, ,46.238, ,46.162, ,46.162, ,39.745, ,839,,,,
34,TO,BS,Lorena Porter,00 bmw/m roadster,48.406, ,48.745, ,48.709, ,48.416, ,48.406, ,39.983, ,834,,,,
35,TO,AM,Ryan Kanto,04 University of Arizona/FSAE Car,76.819,(20),DNS, ,DNS, ,DNS, ,76.819, ,76.819, ,434,,,,
36,TO,AM,Ryan Kanto,04 University of Arizona/FSAE Car,76.886, ,DNF, ,DNS, ,DNS, ,76.886, ,76.886, ,434,,,,
