"Here are the results! We had 67 competitors for the Event, and 42 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
8,street,CSP,Gary Ray,88 BMW/M3,46.647, ,46.067, ,46.817, ,46.757, ,46.067,24,38.558,33,897,,,,
9,street,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,48.395, ,48.407, ,47.993, ,47.941, ,47.941,41,39.503,43,875,,,,
10,street,DS,Jack Drummond,4 Dodge/SRT4,51.296, ,50.376, ,50.104, ,49.902, ,49.902,55,39.622,45,873,,,,
11,street,ES,Ian Bennett,91 Mazda/RX7,52.892, ,52.857, ,52.199, ,51.203, ,51.203,60,41.167,55,840,,,,
12,street,CS,John Beison,99 mazda/miata,74.630,(20),71.259,(20),74.459,(20),52.677, ,52.677,64,42.721,60,809,,,,
13,street,ASP,Greg Mondeau,00 BMW/M roadster,52.627, ,50.946, ,51.139, ,51.822, ,50.946,58,43.202,62,800,,,,
1,TO,STX,Joshua Sortor,02 Subaru/Impreza WRX,43.652, ,43.574, ,43.543, ,44.677,(2),43.543, ,34.617, ,999,,,,
2,TO,SM,Tage Evanson,95 Acura/Integra,43.459,(2),42.964,(2),45.748,(4),41.388, ,41.388, ,34.683, ,997,,,,
3,TO,GS,Dane Campbell,03 MINI/Cooper S,46.781,(2),49.010,(4),45.419, ,49.191,(4),45.419, ,35.472, ,975,,,,
4,TO,STX,Mike Quigley,02 subaru/wrx,45.865, ,45.749, ,45.248, ,44.875, ,44.875, ,35.676, ,969,,,,
5,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,45.532, ,45.191, ,49.634,(4),45.488, ,45.191, ,35.746, ,967,,,,
6,TO,ESP,Larry Petrucci,95 Pontiac/Firebird,44.407, ,47.808,(4),43.583, ,47.437,(4),43.583, ,35.912, ,963,,,,
7,TO,AS,Dave Mccombs,04 Honda/S2000,43.576, ,43.877, ,44.042, ,45.664, ,43.576, ,36.081, ,958,,,,
8,TO,SS,Joel Schotz,01 CHEVROLET/CORVETTE ZO6,46.618,(4),43.228, ,44.609,(2),43.482, ,43.228, ,36.139, ,957,,,,
9,TO,STS,David Rock,03 Toyota/Celica GTS,51.323, ,65.317, ,46.426, ,53.630, ,46.426, ,36.723, ,941,,,,
10,TO,CS,Mark Johnson,99 Mazda/Miata,45.519, ,45.763, ,46.000, ,45.677, ,45.519, ,36.916, ,937,,,,
11,TO,BS,Brady Dohrmann,04 Nissan/350Z,45.912, ,47.675, ,45.714, ,45.155, ,45.155, ,37.298, ,927,,,,
12,TO,DSP,Ron Terrien,95 Honda/Prelude,45.628, ,46.185, ,46.343, ,46.214, ,45.628, ,37.369, ,925,,,,
13,TO,STS,David Webb,01 Ford/Focus,48.079, ,47.414, ,DNS, ,DNS, ,47.414, ,37.504, ,922,,,,
14,TO,STX,Fernando Ma,02 Volkswagen/GTI,47.288, ,49.688,(2),51.975,(4),51.796,(4),47.288, ,37.594, ,920,,,,
15,TO,SM2,Keith Lensch,98 chevrolet/corvette,46.284,(2),76.175,(24),44.545, ,44.314, ,44.314, ,37.623, ,919,,,,
16,TO,SS,Newton Johnson,04 Corvette/Z06,45.116, ,45.012, ,45.285, ,DNS, ,45.012, ,37.630, ,919,,,,
17,TO,HS,Bernard Mckearney,69 datsun/510,51.858, ,51.537, ,48.724, ,DNS, ,48.724, ,37.810, ,914,,,,
18,TO,SM2,Mark Eddy,71 datsun/240z,45.208, ,44.616, ,46.786, ,45.730, ,44.616, ,37.879, ,913,,,,
19,TO,ASP,Stephen Peterson,1 Chevrolet/Vette,45.965, ,44.711, ,54.426, ,45.391, ,44.711, ,37.915, ,912,,,,
20,TO,STS,Dennis Lach,99 Subaru/Impreza,48.516, ,49.753, ,48.552, ,48.153, ,48.153, ,38.089, ,908,,,,
21,TO,STS,Chris Piper,97 Honda/Civic,50.770, ,49.263, ,49.462, ,48.251, ,48.251, ,38.167, ,906,,,,
22,TO,STS,Mindi Cross,01 Ford/Focus,49.377, ,48.387, ,48.623, ,48.376, ,48.376, ,38.265, ,904,,,,
23,TO,CS,Dawn Maxwell,99 Mazda/Miata,47.218,(2),52.790, ,52.986,(2),51.812, ,47.218, ,38.294, ,903,,,,
24,TO,STX,Lee Mayer,95 VW/jetta,48.232, ,49.013, ,50.122,(2),48.219, ,48.219, ,38.334, ,902,,,,
25,TO,GS,Brad Owen,01 Nissan/Sentra,49.688, ,51.356, ,49.998, ,49.138, ,49.138, ,38.377, ,901,,,,
26,TO,STX,Jeff Braciak,01 Pontiac/Firebird,48.939, ,51.465,(2),48.461, ,50.838, ,48.461, ,38.526, ,897,,,,
27,TO,DSP,Kevin Gleaton,97 Nissan/200sx,47.248, ,47.681, ,48.369, ,51.981,(4),47.248, ,38.696, ,893,,,,
28,TO,HS,Rich Mckearney,69 datsun/510,50.587, ,49.914, ,78.882,(20),DNS, ,49.914, ,38.733, ,893,,,,
29,TO,DS,Jamal Brewer,04 Dodge/SRT4,50.385,(2),48.987, ,49.484,(2),48.790, ,48.790, ,38.739, ,892,,,,
30,TO,AS,Christopher Lampe,05 Subaru/WRX STI,47.496, ,47.762, ,47.100, ,46.972, ,46.972, ,38.893, ,889,,,,
31,TO,SM2,Enrique Aviles,82 Mazda/Rx-7,47.133, ,46.354, ,46.129, ,46.374, ,46.129, ,39.164, ,883,,,,
32,TO,FSP,Chris Cathey,75 BMW/ 2002,79.706,(20),48.326, ,86.809,(20),79.261,(2),48.326, ,39.289, ,880,,,,
33,TO,GS,Kim Sparling,02 Saab/9-3,50.330, ,51.050, ,51.637, ,50.653, ,50.330, ,39.308, ,880,,,,
34,TO,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,48.503, ,48.187, ,47.780, ,48.286, ,47.780, ,39.371, ,878,,,,
35,TO,ASP,Bob Francis,02 Chev./Z06,47.541, ,46.625, ,47.419, ,47.275, ,46.625, ,39.538, ,874,,,,
36,TO,AS,Dayron Vargas,02 BMW/M3 Convertible,47.916, ,49.214,(2),49.886, ,68.314,(6),47.916, ,39.674, ,871,,,,
37,TO,HS,John Wisthoff,01 honda/civic,52.089, ,54.712, ,52.389, ,51.655, ,51.655, ,40.084, ,863,,,,
38,TO,BS,Rob Rockefeller,00 Honda/S2000,51.999, ,50.797, ,54.503,(4),49.978, ,49.978, ,41.282, ,837,,,,
39,TO,SM,Gregory Brewer,90 Nissan/3002XTT,49.774, ,49.354, ,49.475, ,49.959, ,49.354, ,41.359, ,836,,,,
40,TO,CS,Ralph Prince,99 mazda/miata,53.747, ,53.130, ,60.529,(2),55.167, ,53.130, ,43.088, ,802,,,,
41,TO,ASP,Greg Mondeau,00 BMW/M roadster,51.029, ,51.519, ,51.362, ,51.035, ,51.029, ,43.273, ,799,,,,
42,TO,STS,Lorena Porter,02 Honda/Civic Si,58.761, ,55.016,(2),56.960, ,DNF, ,55.016, ,43.518, ,794,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
