"Here are the results! We had 74 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
5,street,DS,David Vasquez,03 BMW/330i,62.721, ,73.904,(2),63.184, ,63.824,(2),62.721,45,49.800,25,914,,,,
6,street,DS,Jack Drummond,4 Dodge/SRT4,65.196, ,64.740, ,63.356, ,63.758, ,63.356,52,50.305,31,905,,,,
7,street,CSP,Gary Ray,88 BMW/M3,60.906, ,60.551, ,60.682, ,60.274, ,60.274,23,50.449,33,903,,,,
8,street,FSP,Nic Foster,81 BMW/320i,64.557, ,64.846,(2),62.219, ,62.176, ,62.176,40,50.549,36,901,,,,
9,street,AS,Dan Popson,00 BMW/M5,64.229, ,62.081, ,63.336, ,61.202, ,61.202,34,50.675,38,898,,,,
10,street,AS,Jeff Williams,02 BMW/M Roadster,69.345,(4),63.707, ,61.851, ,61.402, ,61.402,35,50.841,40,896,,,,
11,street,BS,Paul Lialios,00 porsche/boxster,66.965,(4),62.309, ,62.797, ,61.818, ,61.818,37,51.062,43,892,,,,
12,street,HS,James Flynn,96 BMW/318is,71.286, ,69.966, ,67.361, ,66.734, ,66.734,69,51.786,48,879,,,,
13,street,ESP,James Knibloe,97 Mitsubishi/Eclipse,66.499, ,71.835, ,63.568, ,62.849, ,62.849,47,51.788,49,879,,,,
14,street,BS,Greg Mondeau,00 BMW/M coupe,67.345, ,67.501, ,64.696, ,64.945, ,64.696,57,53.439,61,852,,,,
15,street,GS,Tad Fust,00 Nissan/Altima,76.942, ,72.175, ,70.332, ,69.827, ,69.827,74,54.535,66,835,,,,
16,street,DSP,Brian Kuhn,87 VW/Golf GTI,74.611, ,68.454, ,68.511, ,67.809, ,67.809,72,55.536,70,820,,,,
17,street,SM,Ross Jackson,94 VW/Jetta,68.258, ,69.737,(2),66.304, ,67.518,(2),66.304,65,55.563,71,819,,,,
1,TO,DS,Brian Peters,03 Lexus/IS300,57.272, ,57.398, ,57.097, ,56.851, ,56.851, ,45.140, ,1009,,,,
2,TO,STX,Mike Quigley,02 subaru/wrx,59.554,(2),58.257, ,62.313, ,57.139, ,57.139, ,45.426, ,1002,,,,
3,TO,STS,David Rock,03 Toyota/Celica GTS,58.823, ,57.771, ,83.257,(24),57.603, ,57.603, ,45.564, ,999,,,,
4,TO,GS,Chris Sparling,02 Saab/9-3,62.690,(2),70.111,(4),59.925, ,71.282,(6),59.925, ,46.801, ,973,,,,
5,TO,DS,Jay Balducci,02 Subaru/WRX,62.419,(2),59.852, ,59.604, ,84.804,(2),59.604, ,47.326, ,962,,,,
6,TO,STS,John Ellis,00 Toyota/Celica GTS,60.949, ,61.342, ,62.108, ,61.727, ,60.949, ,48.211, ,944,,,,
7,TO,HS,David Webb,01 Ford/Focus,62.454, ,65.150,(2),62.466, ,62.744, ,62.454, ,48.464, ,939,,,,
8,TO,GS,Brad Owen,01 Nissan/Sentra,64.729,(2),62.336, ,62.880, ,64.965,(2),62.336, ,48.684, ,935,,,,
9,TO,DM,Don Sattler,94 Mazda/Miata,77.114,(20),60.108, ,55.273, ,56.099, ,55.273, ,48.972, ,930,,,,
10,TO,FSP,Nic Foster,81 BMW/320i,65.058,(2),61.589, ,60.941, ,60.275, ,60.275, ,49.004, ,929,,,,
11,TO,DSP,Ron Terrien,95 Honda/Prelude,64.966,(2),59.842, ,61.570, ,60.741, ,59.842, ,49.011, ,929,,,,
12,TO,EM,Tom Hill,88 Pontiac/Cadero,55.994, ,54.940, ,56.836,(2),54.948, ,54.940, ,49.116, ,927,,,,
13,TO,DS,David Vasquez,03 BMW/330i,62.599, ,62.290, ,62.775, ,62.408, ,62.290, ,49.458, ,921,,,,
14,TO,DM,David Lahey,94 Mazda/Miata,56.263, ,55.858, ,76.189,(20),82.574,(22),55.858, ,49.490, ,920,,,,
15,TO,SS,Newton Johnson,04 Corvette/Z06,59.580, ,59.506, ,59.407, ,65.071,(4),59.407, ,49.664, ,917,,,,
16,TO,BS,Brian Malm,86 Porsche/928 S,60.483, ,66.399,(4),60.859, ,66.106,(4),60.483, ,49.959, ,911,,,,
17,TO,STX,Jeff Braciak,02 VW/Golf GTI,66.805,(4),64.406,(2),62.961, ,62.922, ,62.922, ,50.023, ,910,,,,
18,TO,ESP,James Knibloe,97 Mitsubishi/Eclipse,62.467, ,61.737, ,60.782, ,61.153, ,60.782, ,50.084, ,909,,,,
19,TO,SS,Elvis Presley,05 Lotus/Elise,61.000, ,60.123, ,61.797,(2),60.744,(2),60.123, ,50.263, ,906,,,,
20,TO,SM2,Keith Lensch,98 chevrolet/corvette,59.725, ,59.414, ,59.635, ,59.590, ,59.414, ,50.442, ,903,,,,
21,TO,AS,Dan Popson,00 BMW/M5,63.366,(2),61.258, ,60.921, ,61.207, ,60.921, ,50.443, ,903,,,,
22,TO,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,56.673, ,55.945, ,55.646, ,55.421, ,55.421, ,50.599, ,900,,,,
23,TO,SM,John Raskob,90 Mitsubishi/Eclipse GSX,62.275, ,60.866, ,63.167, ,62.810, ,60.866, ,51.006, ,893,,,,
24,TO,SM2,Enrique Aviles,82 Mazda/RX-7,60.287, ,66.611, ,64.432,(4),65.286,(4),60.287, ,51.184, ,890,,,,
25,TO,CSP,Mike Wilke,84 honda/civic,66.517,(2),63.242, ,62.916, ,61.232, ,61.232, ,51.251, ,888,,,,
1,TO,CM,Gene Sanders,72 Formula Ford/Caldwell,65.796,(2),56.448, ,56.272, ,60.795, ,56.272, ,51.376, ,886,,,,
1,TO,AS,Jeff Williams,02 BMW/M Roadster,62.159, ,70.198,(8),62.992,(2),65.146,(4),62.159, ,51.468, ,885,,,,
2,TO,BS,Rob Rockefeller,00 Honda/S2000,64.658,(2),69.914, ,62.923, ,64.994,(4),62.923, ,51.974, ,876,,,,
3,TO,BS,Greg Mondeau,00 BMW/M coupe,64.634, ,64.764, ,64.603, ,63.869, ,63.869, ,52.756, ,863,,,,
4,TO,AS,Lorena Porter,02 BMW/M Roadster,66.181, ,69.227,(2),65.308, ,69.530,(4),65.308, ,54.075, ,842,,,,
5,TO,FSP,Fernando Ma,91 Volkswagen/GTI,72.456, ,68.379, ,66.935, ,66.562, ,66.562, ,54.115, ,841,,,,
6,TO,DSP,Brian Kuhn,87 VW/Golf GTI,67.476, ,69.048,(2),66.848, ,67.766, ,66.848, ,54.749, ,832,,,,
7,TO,CM,Carlos Murphy,88 honda/crx si,68.109,(2),69.277,(2),67.570, ,66.800,(2),66.800, ,60.988, ,747,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
