"Here are the results! We had 47 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
34,TO,ES,Mike Woodard,95 Mazda/Miata,51.811, ,52.744, ,51.523, ,51.994, ,51.523, ,41.476, ,872,,,,
35,TO,BS,Brian Malm,86 Porsche/928S,50.991, ,53.067,(4),51.224,(2),51.154,(2),50.991, ,41.864, ,864,,,,
36,TO,FJ4,Kayla Smith,Emmick/Kart,50.408, ,51.429, ,61.029, ,DNS, ,50.408, ,41.939, ,863,,,,
37,TO,SM2,Jeremy Stein,71 datsun/240z,51.962,(2),52.304,(2),50.814, ,52.014, ,50.814, ,43.294, ,836,,,,
38,TO,SM2,Greg Mondeau,00 BMW/M coupe,54.548,(2),52.296, ,51.218, ,52.260, ,51.218, ,43.638, ,829,,,,
39,TO,CS,Ralph Prince,99 MAZDA/miata,55.995, ,54.548, ,54.948, ,55.477, ,54.548, ,44.184, ,819,,,,
40,TO,SM2,Jeff Braciak,06 Pontiac/PT Cruiser,54.376, ,63.929,(2),54.272,(2),52.192, ,52.192, ,44.468, ,814,,,,
41,TO,SM2,Fernando Ma,06 Pontiac/PT Cruiser,60.111,(4),77.336,(20),53.513, ,59.399, ,53.513, ,45.593, ,793,,,,
42,TO,CP,Ronda Smith,Chevy Camaro,53.825, ,DNS, ,DNS, ,DNS, ,53.825, ,46.020, ,786,,,,
43,TO,FS,Mark Wilson,00 Camaro/SS,59.545, ,62.036,(4),57.277, ,57.338, ,57.277, ,46.108, ,785,,,,
44,TO,CP,Jesse Smith,Chevy Camaro,54.539,(2),DNS, ,DNS, ,DNS, ,54.539, ,46.631, ,776,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
