"Here are the results! We had 61 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,,,
21,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,77.863, ,74.699, ,73.517,(2),73.517, ,58.961, ,884,,,,,,
22,TO,BS,Greg Mondeau,89 BMW/M Coupe,71.900, ,73.287, ,76.288,(2),71.900, ,59.030, ,883,,,,,,
23,TO,BSP,Gregory Brewer,90 Nissan/300ZX,72.933,(2),75.686,(4),71.287, ,71.287, ,59.810, ,871,,,,,,
24,TO,AS,Kris Wiedeman,04 Honda/S2000,74.536, ,73.376, ,76.378,(4),73.376, ,60.755, ,858,,,,,,
25,TO,GS,Ryan Keeler,05 Mazda/3s,78.359, ,78.797, ,79.344, ,78.359, ,61.277, ,850,,,,,,
26,TO,SM,Lee Mayer,95 VW/Jetta,73.986, ,73.699, ,73.034, ,73.034, ,61.495, ,847,,,,,,
27,TO,FP,Enrique Aviles,82 Mazda/RX-7,71.930, ,72.590,(2),71.664, ,71.664, ,61.774, ,843,,,,,,
28,novice,DS,David VerPlanck,05 Infiniti/G35 Sedan,79.530,(4),78.287,(4),80.311,(8),78.287, ,62.316, ,836,,,,,,
29,TO,FSAE,Chris Piper,04 UA/FSAE,67.582, ,67.506, ,65.921, ,65.921, ,62.493, ,834,,,,,,
30,TO,ES,Andrew Gardner,83 Fiat/X1/9,78.738, ,77.684, ,79.731, ,77.684, ,62.536, ,833,,,,,,
31,TO,FSAE,Chris Bunch,04 UA/FSAE,66.769, ,66.303, ,66.574, ,66.303, ,62.855, ,829,,,,,,
32,TO,FSP,Fernando Ma,91 Volkswagen/GTI,78.034, ,84.492,(2),80.272,(2),78.034, ,63.286, ,823,,,,,,
33,TO,HS,Brenda Dixon,03 Mitsubishi/Lancer,82.288, ,86.282,(2),83.754,(2),82.288, ,63.938, ,815,,,,,,
34,TO,EM,Brian Malm,90 Corvarri/Kit,74.734, ,73.311,(2),72.915, ,72.915, ,64.603, ,807,,,,,,
