The Spring series for 2003 is a best 3 out of 4 event series.,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
1,HS,David Webb,922,876, ,887,2685,,,,,,,,,,
2,FS,Roy Coombes,863, ,913,867,2643,,,,,,,,,,
3,BS,Jake Beggy,841,891,883, ,2615,,,,,,,,,,
4,SM,James Frink, ,832,870,888,2590,,,,,,,,,,
5,ES,Adam Rivera,826,795,825, ,2446,,,,,,,,,,
6,CP,Sean Martinez,834,776,807, ,2417,,,,,,,,,,
7,DS,Jim Barks, ,886, ,856,1742,,,,,,,,,,
8,FS,Roy Coombes, ,855, ,867,1722,,,,,,,,,,
9,SM,Jeremy Hayes, ,849,831, ,1680,,,,,,,,,,
10,ESP,Billy Webster,830, ,843, ,1673,,,,,,,,,,
11,HS,Greg Toy, ,839,830, ,1669,,,,,,,,,,
12,ESP,Bob Bastian,820, ,809, ,1629,,,,,,,,,,
13,ES,Manuel Rivera,770, ,846, ,1616,,,,,,,,,,
14,DS,Jay Balducci, , , ,941,941,,,,,,,,,,
15,BS,Lou Young, , , ,917,917,,,,,,,,,,
16,GS,Michael Whitehouse, , , ,906,906,,,,,,,,,,
17,GS,Chad Mizner, , , ,906,906,,,,,,,,,,
18,DS,Mark Ewings, , , ,901,901,,,,,,,,,,
19,HS,Mindi Cross,886, , , ,886,,,,,,,,,,
20,CSP,Jake Beggy, , , ,882,882,,,,,,,,,,
21,ES,Scott Meyers, , , ,877,877,,,,,,,,,,
22,AS,Art Ehman, , , ,877,877,,,,,,,,,,
23,GS,Mike Morzinski, ,875, , ,875,,,,,,,,,,
24,FS,Jack Drummond,874, , , ,874,,,,,,,,,,
25,GS,Jack Soneira, ,871, , ,871,,,,,,,,,,
26,BS,Thomas Bastian, , ,869, ,869,,,,,,,,,,
27,DSP,Joel Priddy, , , ,869,869,,,,,,,,,,
28,ESP,Troy Bilse, , ,863, ,863,,,,,,,,,,
29,HS,Owen Gibson,859, , , ,859,,,,,,,,,,
30,GS,John Painter, ,858, , ,858,,,,,,,,,,
31,BS,Paul Lialios, , , ,858,858,,,,,,,,,,
32,FS,Dennis Zygel,855, , , ,855,,,,,,,,,,
33,SS,Dan Sniezek, ,854, , ,854,,,,,,,,,,
34,BSP,Kabel Fullenkamp, ,853, , ,853,,,,,,,,,,
35,FS,Kelly Lamont,849, , , ,849,,,,,,,,,,
36,ESP,Steve Felde,847, , , ,847,,,,,,,,,,
37,GS,Erica Eaves, , ,844, ,844,,,,,,,,,,
38,STX,Chuck Lubin, ,831, , ,831,,,,,,,,,,
39,ESP,Ryan Sotak, , , ,827,827,,,,,,,,,,
40,SS,Steven Dalbec, , , ,807,807,,,,,,,,,,
41,ESP,Dennis Zygel, , , ,807,807,,,,,,,,,,
42,AS,Lori Ehman, , , ,805,805,,,,,,,,,,
43,FSP,Colin Tisdale, , ,788, ,788,,,,,,,,,,
44,SS,David Lee, ,766, , ,766,,,,,,,,,,
45,CSP,Greg Mondeau, , , ,722,722,,,,,,,,,,
46,CS,Adam Sporleder, ,700, , ,700,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NOVICE CLASS,,,,,,,,,,,,,,,,,
