"Here are the results! We had 119 racers for the Event, and 38 time onlies. ",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
7,novice,HS,Eddy Rogers,79 Fiat/124 Spyder,88.822, ,110.178,(22),84.212, , , ,84.212,93,65.517,73,834
8,novice,STX,Trave Colton,78 chevrolet/malibu classic wagon,82.295, ,89.252,(2),85.784,(4), , ,82.295,84,65.671,75,832
9,novice,HS,Colin Tisdale,89 Acura Integra LS,94.304,(4),84.872, ,84.775, , , ,84.775,94,65.955,78,828
10,novice,ES,Jace Kelley,00 Eclipse/RS,85.049, ,82.101, ,82.480, , , ,82.101,83,66.009,79,827
11,novice,BS,Michael Hornisher,95 BMW/M3,89.117, ,83.658, ,80.374, , , ,80.374,74,66.309,81,824
12,novice,STX,Jamie Duffy,01 Acura/Integra Type R,84.595, ,101.549,(20),83.314, , , ,83.314,89,66.485,83,821
13,novice,DSP,Mike Demrovsky,02 Subaru/WRX,95.757, ,82.314, ,83.150,(2), , ,82.314,85,67.333,85,811
14,novice,ESP,Justin Williams,96 Nissan/Hardbody,88.884,(4),83.556, ,81.716, , , ,81.716,81,67.497,87,809
15,novice,STS,John Sandoval,02 VW/GLI,93.012, ,88.053, ,86.751, , , ,86.751,103,68.013,89,803
16,novice,BS,Jonathan Castillo,93 Toyota/MR2 Turbo,110.159,(20),82.479, ,85.174,(4), , ,82.479,88,68.045,90,803
17,novice,STS,Ryan Kanto,98 VW/Jetta,91.244, ,89.133, ,87.084, , , ,87.084,104,68.274,92,800
18,novice,BS,Lloyd Koty,02 Honda/S2000,105.739,(20),86.290,(2),106.349,(20), , ,86.290,101,71.189,98,767
19,novice,CSP,Nic Foster,81 BMW /320i,98.088,(4),85.560, ,92.880,(8), , ,85.560,98,71.785,102,761
20,novice,CSP,Shelby Sliker,99 Audi/A4 Quattro,93.576, ,89.267, ,85.925, , , ,85.925,100,72.091,103,758
21,novice,AS,Domingo Favis,86 Toyota/Corolla GT-S,94.659, ,115.270,(20),97.266, , , ,94.659,109,78.378,110,697
22,novice,HS,Justin Callaghan,96 Pontiac Firebird,DNF, ,102.588,(2),109.422,(18), , ,102.588,112,79.813,111,684
23,novice,FS,Cheryl Rivera,84 Chevrolet/El Camino,119.448, ,109.036, ,103.102, , , ,103.102,113,83.100,113,657
24,novice,GS,Luke Moore,84 Ford/SVO,108.819,(20),114.597,(22),119.522,(26), , ,108.819,115,85.096,114,642
25,novice,FJr,Jamie Perez,97 Emmick/,143.657,(20),131.398,(20),114.844,(20), , ,114.844,117,94.172,116,580
1,daily,BS,Jake Beggy,89 BMW /M3,75.284, ,74.332, ,74.321, , , ,74.321,31,61.315,31,891
2,daily,DS,Jim Barks,02 Lexus/IS300,79.643, ,77.604, ,77.489, , , ,77.489,54,61.604,34,886
3,open,HS,David Webb,01 Ford Focus,80.144, ,97.587,(20),84.038,(4), , ,80.144,71,62.352,40,876
4,daily,GS,Mike Morzinski,00 Acura/Integra,84.338, ,80.410, ,79.796, , , ,79.796,65,62.400,42,875
5,daily,GS,Jack Soneira,93 Saturn/SL2,82.587, ,80.824, ,80.137, , , ,80.137,70,62.667,45,871
6,daily,GS,John Painter,02 Ford/Focus svt,103.377,(20),DNF, ,81.425, , , ,81.425,80,63.674,54,858
7,daily,FS,Roy Coombes,93 Ford/Mustang Cobra,79.592, ,79.203, ,83.796,(6), , ,79.203,61,63.838,56,855
8,daily,SS,Dan Sniezek,01 Chevrolet/Corvette,82.639,(4),76.358, ,112.973,(28), , ,76.358,45,63.912,57,854
9,daily,BSP,Kabel Fullenkamp,78 datsun/280Z,78.385, ,76.242, ,77.178, , , ,76.242,44,64.043,59,853
10,daily,SM,Jeremy Hayes,84 Volkswagen/GTI 16v,77.116, ,77.872, ,82.135,(4), , ,77.116,49,64.315,60,849
11,daily,HS,Greg Toy,86 Toyota/Corolla,86.690, ,84.373,(4),83.642, , , ,83.642,91,65.073,67,839
12,daily,SM,James Frink,02 Subaru/Impreza WRX,81.989,(24),79.424, ,78.721,(2), , ,78.721,60,65.653,74,832
13,daily,STX,Chuck Lubin,02 Subaru/WRX,82.370, ,89.622,(8),82.904,(4), , ,82.370,86,65.731,76,831
14,daily,ES,Adam Rivera,77 VW Scirocco,87.722,(2),89.064,(4),85.435, , , ,85.435,97,68.690,93,795
15,daily,CP,Sean Martinez,66 Chevelle,99.456,(20),82.451, ,DNF, , , ,82.451,87,70.331,97,776
16,daily,SS,David Lee,00 Chevrolet/Corvette,92.172, ,87.276, ,85.170, , , ,85.170,96,71.287,101,766
17,daily,CS,Adam Sporleder,99 Mazda/Miata,DNF, ,109.388, ,95.799, , , ,95.799,110,77.980,109,700
18,daily,AS,Jeff Burims,97 Toyota/Supra,DNW, ,DNW, ,DNW, , , ,DNW,DNW,DNW,DNW,DNW
1,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,47.181, ,48.767,(2),50.256,(4),45.668, ,45.668, ,35.804,TO,TO
2,TO,STS,Mark Eddy,00 240Z,49.298, ,53.349,(4),46.085, ,45.930, ,45.930, ,36.009,TO,TO
3,TO,STS,David Rock,00 Toyota/Celica GTS,48.544,(2),48.233,(2),46.341, ,50.700, ,46.341, ,36.331,TO,TO
4,TO,AS,Wiggy Greacen,91 C4-Corvette,48.759, ,46.554, ,57.550,(6),48.699,(4),46.554, ,36.405,TO,TO
5,TO,AP,Greg Duncan,84 Pontiac/Fiero,44.281, ,43.299, ,43.108, ,44.763, ,43.108, ,37.547,TO,TO
6,TO,STX,Mark Goerner,01 Acura/Integra Type R,50.387,(2),50.973,(4),52.468,(6),47.118, ,47.118, ,37.600,TO,TO
7,TO,DS,Mike Quigley,02 Subaru/WRX,49.200, ,49.993,(2),48.235, ,49.893,(2),48.235, ,38.347,TO,TO
8,TO,GS,Chris Sparling,02 Saab/9-3,49.138, ,54.230, ,61.619,(4),DNS, ,49.138, ,38.426,TO,TO
9,TO,DSP,Jeff Makowski,94 Volkwagen/Jetta,DNS, ,48.067, ,47.417, ,48.909, ,47.417, ,38.787,TO,TO
10,TO,BS,Paul Lialios,03 Nissan/350z,47.608, ,47.827, ,48.938,(2),47.308, ,47.308, ,39.029,TO,TO
11,TO,ESP,Larry Petrucci,99 Formula,48.857, ,47.053, ,47.198, ,47.381, ,47.381, ,39.137,TO,TO
12,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,51.754,(2),49.306, ,49.452, ,DNS, ,49.306, ,39.198,TO,TO
13,TO,AS,Steve Ryan,91 Chevrolet/Corvette,47.389,(2),48.953,(4),DNF, ,DNS, ,47.389, ,39.238,TO,TO
14,TO,SM,David Harsay,00 Ford/Mustang,54.619, ,51.268,(2),51.295,(4),47.114, ,47.114, ,39.293,TO,TO
15,TO,STX,Chuck Lubin,02 Subaru/WRX,49.855, ,53.282,(2),DNF, ,49.304, ,49.304, ,39.345,TO,TO
16,TO,FSP,Audrey Harnish,95 Honda/Civic,48.438,(4),50.516,(6),50.869,(4),49.488,(4),48.438, ,39.477,TO,TO
17,TO,ESP,Dan Mackean,00 Chevrolet/Camaro SS,48.343, ,53.730,(6),47.991, ,53.728,(6),47.991, ,39.641,TO,TO
18,TO,ESP,Abraham Jones,00 Chevrolet/Camaro SS,70.043,(20),48.048, ,58.038,(10),49.691,(2),48.048, ,39.688,TO,TO
19,TO,SS,Joel Schotz,01 Chevrolet/Corvette,53.995, ,50.965,(4),52.523,(6),47.674,(2),47.674, ,39.903,TO,TO
20,TO,SS,Ken Feeley,93 Mazda/RX7,49.613, ,47.968, ,56.902,(4),48.301, ,47.968, ,40.149,TO,TO
21,TO,SS,Marc McCombs,01 Chevrolet/Corvette Z06,48.198, ,53.974,(8),48.105,(2),49.000, ,48.105, ,40.264,TO,TO
22,TO,CS,John Wisthoff,01 Toyota/Mr 2,49.990, ,69.178,(20),50.273, ,49.270,(4),49.545, ,40.330,TO,TO
23,TO,SM,Geren Smith,02 Subaru/Impreza WRX,48.558, ,51.380,(4),56.004,(6),48.807,(2),48.558, ,40.497,TO,TO
24,TO,EM,Tom Hill,88 Pontiac/Cadero,52.977,(6),57.768,(4),45.432, ,47.497,(2),45.432, ,40.843,TO,TO
25,TO,SM,James Frink,02 Subaru/Impreza WRX,50.929,(2),49.302, ,49.488, ,53.057, ,49.302, ,41.118,TO,TO
26,TO,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,DNS, ,46.114, ,44.876, ,48.451,(4),44.876, ,41.241,TO,TO
27,TO,AP,Bud Adelman,84 PONTIAC/FIERO,48.320, ,48.234, ,48.011, ,68.578,(22),48.011, ,41.818,TO,TO
28,TO,SM2,Enrique Aviles,82 Mazda/Rx-7,50.630, ,49.541, ,54.437, ,49.176, ,49.176, ,41.849,TO,TO
29,TO,EM,Bill Schroeder,91 Ford/Mustang GT,50.934, ,48.596, ,47.656, ,47.376, ,47.376, ,42.591,TO,TO
30,TO,STX,Jamie Duffy,01 Acura/Integra Type R,55.021, ,53.596, ,57.139,(4),68.304,(12),53.596, ,42.770,TO,TO
31,TO,CM,Sheryl Zavion,82 Van Diemen/Formula Ford,50.309, ,48.510, ,48.142, ,47.070, ,47.070, ,43.257,TO,TO
32,TO,CS,William Sloan,96 Mazada/Miata,53.995, ,53.472, ,54.133,(4),DNS, ,53.472, ,43.526,TO,TO
33,TO,STS,John Sandoval,02 VW/GLI,58.710,(2),62.935,(6),58.270,(2),55.709, ,55.709, ,43.676,TO,TO
34,TO,EM,Brain Malm,90 Kit Car/365 Daytona,48.858, ,56.796,(6),52.002,(4),53.262,(4),48.858, ,43.923,TO,TO
35,TO,CS,Ralph Prince,99 Mazda/Miata,59.711, ,57.791,(2),64.402,(4),56.326, ,56.326, ,45.849,TO,TO
36,TO,FS,Adam Rivera,84 Chevrolet/El Camino,61.030, ,59.573,(2),63.006,(8),57.428,(4),57.428, ,46.287,TO,TO
37,TO,ASP,Bob Francis,99 Miata/Miata,60.225,(2),71.512,(20),72.006,(20),71.193,(20),60.225, ,50.950,TO,TO
38,TO,SM2,Jennifer Aviles,82 Mazda/Rx-7,70.204, ,86.704,(20),67.126, ,64.205, ,64.205, ,54.638,TO,TO
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
