"Here are the results! We had 92 racers for the Event, and 48 time onlies. ",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
9,TO,BS,Paul Lialios,03 Nissan/350z,56.665, ,61.387,(4),57.500, ,56.395, ,56.395, ,46.526,TO,964
10,TO,GS,Chris Sparling,02 Saab/9-3,60.616, ,67.453, ,60.012, ,66.511, ,60.012, ,46.929,TO,956
11,TO,SS,Joel Schotz,01 CHEVROLET/CORVETTE Z06,60.029,(4),56.356, ,58.258, ,57.108, ,56.356, ,47.170,TO,951
12,TO,SM,David Harsay,00 Ford/Mustang,57.358, ,56.972, ,56.861, ,56.570, ,56.570, ,47.179,TO,951
13,TO,ESP,Abraham Jones,00 Chevrolet/Camaro SS,58.501, ,57.763, ,57.376, ,57.497, ,57.376, ,47.393,TO,946
14,TO,BSP,Newton Johnson,91 Corvette/ZR - 1,57.047, ,60.190,(4),56.620, ,57.146, ,56.620, ,47.561,TO,943
15,TO,DS,Brian Kraemer,98 Acura/Integra Type R,62.257,(2),84.644,(24),61.240, ,60.017, ,60.017, ,47.714,TO,940
16,TO,SM,Geren Smith,02 Subaru/Impreza WRX,58.941, ,57.434, ,82.643,(24),57.821, ,57.434, ,47.900,TO,936
17,TO,DS,Jeff Deerinwater,03 Nissan/Sentra SE-R Spec V,61.954, ,60.372, ,79.601,(20),62.529,(2),60.372, ,47.996,TO,935
18,TO,SM2,Jason Boles,99 BMW/Z Coupe,56.965, ,59.827, ,59.399, ,56.410, ,56.410, ,48.005,TO,934
19,TO,HS,David Webb,01 Ford/Focus,62.098, ,62.794, ,61.742, ,66.705,(2),61.742, ,48.035,TO,934
20,TO,AP,Greg Duncan,84 Pontiac/Fiero,61.090, ,56.394, ,55.912, ,55.509, ,55.509, ,48.348,TO,928
21,TO,HS,Mindi Cross,01 Ford/Focus,63.448, ,64.273, ,64.412, ,62.551, ,62.551, ,48.665,TO,922
22,TO,CS,John Wisthoff,01 Toyota/mr2,61.374, ,59.864, ,81.665,(20),62.154, ,59.864, ,48.729,TO,920
23,TO,STX,Chuck Lubin,02 Subaru/WRX,63.777, ,68.044,(4),63.266,(2),61.183, ,61.183, ,48.824,TO,919
24,TO,SS,Bob Francis,02 corvette/Z06,58.361, ,69.922, ,59.079, ,85.121,(22),58.361, ,48.848,TO,918
25,TO,DSP,Danny Foldes,95 Honda/Del Sol,64.239,(2),60.358, ,62.525, ,61.109, ,60.358, ,49.373,TO,908
26,TO,SM,James Frink,02 Subaru/Impreza WRX,61.057, ,61.302, ,59.414, ,66.195,(6),59.414, ,49.551,TO,905
27,TO,SS,Ken Feeley,93 Mazda/RX7,61.161, ,68.839, ,77.588,(4),59.391, ,59.391, ,49.710,TO,902
28,TO,DM,Joe Curry,63 Triumph/Spitfire,60.075,(2),57.967, ,56.874, ,56.142, ,56.142, ,50.023,TO,897
29,TO,DSP,Michael Oberstar,91 VW/GTI,61.511, ,61.579, ,63.706,(2),69.297,(6),61.511, ,50.316,TO,891
30,TO,SM2,Enrique Aviles,82 Mazda/Rx-7,60.101, ,59.518, ,59.493, ,88.051,(20),59.493, ,50.629,TO,886
31,TO,CS,Jason Trible,00 Mazda/Miata,86.933,(24),62.333,(2),64.063, ,64.708, ,62.333, ,50.739,TO,884
32,TO,EM,Tom Hill,88 Pontiac/Fiero,56.613, ,56.685, ,56.762, ,56.869, ,56.613, ,50.895,TO,881
33,TO,HS,Owen Gibson,89 Ford/Mustang,69.536,(2),66.558, ,66.895, ,65.471, ,65.471, ,50.936,TO,881
34,TO,FS,Roy Coombes,93 FORD/MUSTANG COBRA,64.252, ,66.097,(2),64.121, ,63.698, ,63.698, ,51.341,TO,874
35,TO,CM,Tom Errickson,74 Zink/Z10 Formula Ford,57.244, ,57.529, ,56.010, ,57.176, ,56.010, ,51.473,TO,871
36,TO,CSP,Jake Beggy,89 BMW/M3,69.917, ,61.950, ,61.967, ,61.482, ,61.482, ,51.583,TO,870
37,TO,FS,Kelly Lamont,02 Chevrolet/Camaro,64.714, ,66.354, ,65.421, ,68.042, ,64.714, ,52.159,TO,860
38,TO,ES,Jeremy Jones,90 honda/civic si,64.909, ,64.962, ,65.204, ,65.326, ,64.909, ,52.187,TO,859
39,TO,ESP,James Knibloe,97 Mitsubishi/Eclipse,64.089, ,78.074,(4),63.620, ,63.336, ,63.336, ,52.316,TO,857
40,TO,ES,Matt Smith,93 Mazda/MX-5 Miata,65.661, ,86.911,(20),82.195,(4),65.088, ,65.088, ,52.331,TO,857
41,TO,ES,Adam Rivera,77 VW/Scirocco,73.020,(6),66.402, ,65.191, ,88.948,(22),65.191, ,52.414,TO,856
42,TO,EM,Bill Schroeder,91 Ford/Mustang GT,62.044,(2),61.325,(2),60.076, ,58.896, ,58.896, ,52.948,TO,847
43,TO,FM,Terry Murray,78 lynx/formula vee,60.396, ,59.422, ,60.115, ,60.283, ,59.422, ,53.123,TO,844
44,TO,SM,Brian Parks,84 Volkswagen/Rabbit ,74.426, ,65.672, ,65.129, ,64.035, ,64.035, ,53.405,TO,840
