"Here are the results! We had 67 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
5,street,GS,Doug Evans,02 Ford/Focus SVT,53.118, ,52.934, ,52.623, ,52.731, ,52.623,49,41.151,23,899
6,street,BS,Brian Malm,86 Porsche/928S,50.790, ,50.336, ,50.453, ,49.940, ,49.940,32,41.201,24,898
7,street,SS,Kim Kemper,03 Chev/Corvette,50.252, ,49.692, ,49.244, ,49.505, ,49.244,27,41.217,25,897
8,street,CSP,Jake Beggy,89 BMW /M3,51.311, ,51.645, ,51.268, ,49.694, ,49.694,30,41.693,31,887
9,street,DS,David Vasquez,03 BMW/330i,55.571, ,54.768, ,54.061, ,53.319, ,53.319,52,42.389,36,872
10,street,CSP,Michael Roland,xx Mazda/Miata,53.138, ,52.171, ,51.713, ,51.911,(2),51.713,44,43.387,50,852
11,street,GS,Bob Piotrowski,02 Saturn/LW300,68.227, ,62.138, ,60.769, ,63.939,(4),60.769,66,47.521,61,778
12,street,EM,Tim Burgess,92 Chevy/Z28,57.546, ,54.390, ,54.079, ,55.541,(2),54.079,54,48.617,62,761
13,street,ASP,Greg Mondeau,00 BMW/M roadster,60.180, ,58.662, ,58.910, ,58.351, ,58.351,63,49.365,65,749
1,TO,BS,Marc McCombs,02 Honda/S2000,45.468, ,44.349, ,47.879,(2),44.890, ,44.349, ,36.588, ,1011
2,TO,STX,Joshua Sortor,02 Subaru/WRX,47.474, ,46.807, ,46.371, ,46.034, ,46.034, ,36.735, ,1007
3,TO,GS,Brian Peters,02 VW/GTI,47.883, ,51.322,(4),47.667, ,48.654, ,47.667, ,37.276, ,992
4,TO,STX,Mark Goerner,01 Acura/Integra Type-R,46.763, ,47.928, ,DNS, ,DNS, ,46.763, ,37.317, ,991
5,TO,AS,Steve Ryan,91 Chevrolet/Corvette,45.637, ,47.414,(2),47.426,(2),45.398, ,45.398, ,37.590, ,984
6,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,68.886,(20),52.517,(2),48.546, ,48.492, ,48.492, ,38.018, ,973
