"Here are the results! We had 72 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
7,street,GS,Rob Michaels,95 Nissan/240sx,81.321,(20),78.636,(20),58.264, ,59.293, ,58.264,60,45.562,49,874
8,street,GS,Brian Landes,98 Volkswagen/Jetta,61.655, ,59.699, ,59.011, ,59.866, ,59.011,63,46.147,52,863
9,street,ES,Ian Bennett,91 Mazda/Rx-7,62.778, ,60.399, ,58.734, ,58.053, ,58.053,59,46.675,57,853
10,street,ASP,Greg Mondeau,00 BMW/M roadster,58.354, ,57.425, ,56.179, ,56.196, ,56.179,48,47.527,61,837
11,street,ESP,Steve Felde,93 Ford/Mustang SVT Cobra,81.320,(20),60.810, ,59.928, ,61.273,(2),59.928,67,49.501,68,804
1,TO,STS,David Rock,03 Toyota/Celica GTS,52.304,(2),54.141,(4),50.038, ,51.502, ,50.038, ,39.230, ,1015
2,TO,STS,Jonathan Eddy,00 Subaru/Impreza,DNS, ,50.502, ,53.645,(4),50.717, ,50.502, ,39.594, ,1005
3,TO,STX,Mike Quigley,02 Subaru/WRX,50.357, ,50.002, ,52.282,(2),59.620, ,50.002, ,39.902, ,997
4,TO,GS,Chris Sparling,02 Saab/9-3,77.513,(20),51.253, ,55.812, ,57.799,(4),51.253, ,40.080, ,993
5,TO,GS,Dane Campbell,03 MINI/CooperS,52.860, ,51.855, ,52.601, ,53.326,(2),51.855, ,40.551, ,982
6,TO,STS,Josh Randall,00 Subaru Impreza,52.287, ,53.216, ,52.044, ,52.185, ,52.044, ,40.802, ,975
7,TO,GS,David Webb,02 Ford/Focus SVT,86.742,(26),53.078, ,52.871, ,52.218, ,52.218, ,40.834, ,975
8,TO,AP,Greg Duncan,84 Pontiac/Fiero,47.205, ,49.487,(2),47.549, ,47.543, ,47.205, ,41.116, ,968
9,TO,STX,Brady Dohrmann,95 Nissan/240SX,52.297, ,52.163, ,51.691, ,54.729, ,51.691, ,41.249, ,965
10,TO,GS,Kris Tvedt,95 Plymonth/Neon,53.548, ,52.887, ,58.417,(4),53.481, ,52.887, ,41.358, ,962
