"Here are the results! We had 100 competitors for the Event, and 51 time onlies.",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
10,novice,ES,Sheri Marlin,90 Mazda/Miata,71.918, ,84.223,(20),88.435,(20),67.950,(2),67.950,81,54.632,76,837
11,novice,SS,James Feeley,93 Mazda/RX7,96.575,(20),69.714, ,67.747, ,66.202, ,66.202,73,55.411,81,826
12,novice,HS,Chris Peterson,91 Toyota/Celica,71.856,(2),DNF, ,86.702, ,71.521,(4),71.521,95,55.643,83,822
13,novice,GS,Jonathan Greenfeld,02 Audi/A4,96.706,(20),DNF, ,71.161, ,89.705,(20),71.161,93,55.648,84,822
14,novice,DSP,John Sandoval,02 VW/Jetta GLI,71.798, ,72.246,(4),70.047,(2),68.655, ,68.655,85,56.160,87,815
15,novice,CS,Stephen Stalcup,97 Mazda/Miata,72.242, ,70.078, ,69.060, ,72.012,(4),69.060,89,56.215,89,814
16,novice,SM,Roger Quist,02 Subaru,83.143, ,72.361, ,71.569, ,68.944, ,68.944,88,57.499,92,796
17,novice,ESP,Martin Sector,97 Chevrolet/Camaro Z28,90.087,(22),74.095,(8),71.153,(6),86.585,(10),71.153,92,58.772,93,778
18,novice,CS,Cecil Rinderer,99 Mazda/Miata,91.895,(20),92.714,(20),109.724,(20),75.064,(2),75.064,98,61.102,98,749
19,novice,SM2,Tom Van Dan Elzen,99 Mazda/Miata,DNF, ,DNF, ,89.784,(20),88.079,(20),88.079,100,74.955,100,610
1,street,DS,Jeff Deerinwater,03 Nissan /Sentra SE-R Spec V,64.323, ,62.480, ,63.303, ,60.878, ,60.878,29,48.398,19,945
2,street,GS,David Webb,02 Ford/Focus SVT,65.975, ,65.016, ,66.771,(2),64.294, ,64.294,62,50.278,29,910
3,street,FS,Craig Meyer,01 Ford/Mustang,62.486, ,63.576, ,64.547,(2),62.723, ,62.486,40,50.364,31,908
4,street,DSP,Jeremy Galo,00 Honda/Prelude Type SH,64.441, ,65.994,(4),61.594, ,64.494,(2),61.594,36,50.384,32,908
5,street,SM,James Frink,02 Subaru/Impreza WRX,62.465, ,82.674,(22),63.655,(2),60.744, ,60.744,28,50.660,35,903
6,street,DS,David Vasquez,03 BMW/330i,66.673, ,65.892, ,64.555, ,63.949, ,63.949,57,50.839,38,900
7,street,DS,Jay Balducci,02 Subaru/Impreza WRX,64.147, ,64.012,(2),84.874,(22),66.627,(2),64.012,58,50.890,41,899
8,street,ESP,Abraham Jones,00 Chevrolet/Camaro SS,62.132, ,62.892, ,90.653,(26),62.714, ,62.132,39,51.321,43,892
9,street,SS,Kim Kemper,03 Chev/Corvette,63.167, ,63.590, ,61.742, ,61.724, ,61.724,37,51.663,46,886
10,street,FS,Roy Coombes,93 FORD/MUSTANG COBRA,66.298, ,75.984, ,64.859, ,DNF, ,64.859,65,52.276,51,875
11,street,SM,Jeremy Hayes,84 Volkswagen/GTI,70.531, ,62.868, ,69.180,(6),63.885,(2),62.868,43,52.432,53,873
12,street,ESP,Abraham Jones,00 Chevrolet/Camaro SS,73.177,(2),DNF, ,63.636, ,65.618,(2),63.636,53,52.563,55,870
13,street,AS,Steve Thompson,89 Chevrolet/Corvette,68.311, ,64.737,(2),83.330,(20),63.814,(2),63.814,55,52.838,56,866
14,street,SS,Bill Schroeder,02 Chevrolet/Corvette ,67.633,(2),66.540,(2),63.773, ,63.226, ,63.226,48,52.920,57,865
15,street,HS,Owen Gibson,90 Ford/Mustang Conv LX,68.740, ,73.274,(2),68.791, ,71.849,(4),68.740,87,53.480,64,856
16,street,SM,Brian Parks,84 Volkswagen/Rabbit,66.041, ,67.730,(2),65.135, ,64.222, ,64.222,61,53.561,65,854
17,street,ES,Adam Rivera,77 VW/Scirocco,66.914, ,68.158,(2),71.993,(6),DNS, ,66.914,76,53.799,67,850
18,street,GS,Brian Landes,98 Volkswagen/Jetta,83.133, ,76.087, ,72.857, ,71.456, ,71.456,94,55.879,86,819
19,street,ASP,Greg Mondeau,00 BMW/M roadster,69.901, ,67.764, ,67.300, ,67.144, ,67.144,80,56.804,90,805
20,street,ESP,Nic Foster,81 BMW/320-i,72.746, ,73.720,(6),69.770,(4),69.434,(2),69.434,90,57.352,91,798
21,street,SM,Alfred Trujillo,92 Nissan/240sx,71.043,(2),81.211, ,71.701,(2),83.416,(6),71.043,91,59.250,95,772
22,street,GS,Rob Michaels,95 Nissan/240sx,95.146,(20),91.502,(20),81.014, ,88.936,(20),81.014,99,63.353,99,722
1,TO,DSP,Brian Peters,95 Acura/Integra,56.655, ,56.509, ,62.173,(6),55.915, ,55.915, ,45.738, ,1000
2,TO,BS,Dave Mccombs,02 honda/s2000,60.097,(4),56.288, ,60.104,(4),61.142,(4),56.288, ,46.438, ,985
3,TO,STS,David Rock,03 Toyota/Celica GTS,63.251,(4),59.232, ,61.060,(2),69.430, ,59.232, ,46.438, ,985
4,TO,KTJr,Jamie Baker,98 Emmick/Cobra,59.468, ,58.352, ,59.402,(2),56.965, ,56.965, ,46.711, ,979
5,TO,STS,Ron Conrad,86 Honda/Civic Si,63.265,(2),60.255, ,60.799, ,59.674, ,59.674, ,46.784, ,978
6,TO,CS,Dawn Maxwell,99 Mazda/Miata,59.098, ,60.656,(2),60.211,(2),57.694, ,57.694, ,46.963, ,974
