"Here are the results! We had 65 racers for the Event, and 30 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
6,DAILY DRIVER,FSP,WILLIAM SKILES,73 MG MIDGET,87.338,-20,62.417, ,62.857, ,61.571, ,61.571,38,50.304,37,856,,
7,DAILY DRIVER,DS,JAY BALDUCCI,02 SUBARU WRX,64.535, ,DNF, ,90.352,-20,63.337, ,63.337,47,50.543,40,852,,
8,DAILY DRIVER,ESP,TRAVIS HIGGINS,00 DAKOTA R/T PUP,65.738, ,61.713, ,61.449, ,63.789,-2,61.449,37,50.757,42,848,,
1,TIME ONLY,STS,DAVID ROCK,00 CELICA GTS,55.570, ,56.461, ,55.797, ,55.416, ,55.416, ,43.446,TO,991,,
2,TIME ONLY,BS,DAVE MCCOMBS,02 HONDA S2000,57.764,-2,56.219,-2,55.013,-2,53.086, ,53.086, ,43.902,TO,981,,
3,TIME ONLY,BS,MARC MCCOMBS,02 HONDA S2000,57.099, ,65.338,-2,53.377, ,75.160,-22,53.377, ,44.143,TO,975,,
4,TIME ONLY,AS,STEVE RYAN,91 CORVETTE,55.119, ,56.221,-2,53.808, ,54.722,-2,53.808, ,44.553,TO,967,,
5,TIME ONLY,ESP,ABRAHAM JONES,00 CAMARO SS,56.583, ,55.525, ,54.299, ,56.350, ,54.299, ,44.851,TO,960,,
6,TIME ONLY,AS,WIGGY GREACEN,91 CORVETTE,58.568,-2,55.317, ,55.029, ,54.271, ,54.271, ,44.936,TO,958,,
7,TIME ONLY,CS,BRIAN PETERS,99 MIATA,57.252, ,58.431,-2,55.551, ,74.241,-20,55.551, ,45.107,TO,955,,
8,TIME ONLY,SS,JOEL SCHOTZ,01 CORVETTE Z06,54.442, ,56.106,-2,55.118,-2,72.902,-20,54.442, ,45.514,TO,946,,
9,TIME ONLY,ASP,JASON BOLES,99 BMW Z COUPE,55.541, ,54.679, ,56.258, ,55.476, ,54.679, ,46.258,TO,931,,
10,TIME ONLY,SM,DAVID HARSAY,00 MUSTANG GT,60.024, ,79.830,-20,55.792, ,67.669, ,55.792, ,46.531,TO,925,,
11,TIME ONLY,GS,CHRIS SPARLING,02 SAAB 9-3,61.010, ,59.384, ,64.819,-4,63.153,-4,59.384, ,46.616,TO,924,,
12,TIME ONLY,SM,GEREN SMITH,02 SUBARU WRX,57.328, ,56.139, ,DNF, ,60.048, ,56.139, ,46.820,TO,920,,
13,TIME ONLY,DSP,BEN CLEMENT,95 INTEGRA GSR,60.430,-2,58.140, ,57.335, ,57.425, ,57.335, ,47.015,TO,916,,
14,TIME ONLY,DSP,RON TERRIEN,95 PRELUDE,59.468,-2,63.699,-4,57.345, ,59.091,-2,57.345, ,47.023,TO,916,,
15,TIME ONLY,BSP,NEWTON JOHNSON,91 CORVETTE ZR1,56.124, ,56.198, ,64.342,-6,57.169,-2,56.124, ,47.144,TO,913,,
16,TIME ONLY,CS,JASON TRIBLE,00 MIATA,60.851, ,61.786,-2,58.464, ,58.171, ,58.171, ,47.235,TO,912,,
17,TIME ONLY,ES,MIKE QUIGLEY,02 SUBARU WRX,63.790, ,59.300, ,59.220, ,60.222,-2,59.220, ,47.494,TO,907,,
18,TIME ONLY,BS,PAUL LIALIOS,03 NISSAN 350Z,60.188, ,58.879, ,57.803, ,60.707, ,57.803, ,47.803,TO,901,,
19,TIME ONLY,STX,ZACH HANCOCK,02 SUBARU WRX,65.157, ,65.770,-4,61.024, ,59.917, ,59.917, ,47.994,TO,897,,
20,TIME ONLY,STX,CHUCK LUBIN,02 SUBARU WRX,73.379, ,68.399,-4,62.550, ,61.135, ,61.135, ,48.969,TO,879,,
21,TIME ONLY,DSP,JEFF MAKOWSKI,94 VW JETTA,61.329, ,74.325, ,60.339, ,60.704, ,60.339, ,49.478,TO,870,,
22,TIME ONLY,ESP,JIM KNIBLOE,97 ECLIPSE,63.041,-2,60.623, ,66.313,-4,60.416, ,60.416, ,49.904,TO,863,,
23,TIME ONLY,SS,KENNETH FEELEY,93 MAZDA RX7,63.184, ,72.145, ,61.696, ,59.773, ,59.773, ,49.970,TO,862,,
24,TIME ONLY,EM,BRIAN MALM,90 CORVARRI,65.815, ,55.806, ,56.217, ,62.673, ,55.806, ,50.449,TO,854,,
25,TIME ONLY,DS,BRAD PRATHER,01 SUBARU WRX,87.806,-20,64.062, ,63.641, ,80.745,-20,63.641, ,50.786,TO,848,,
26,TIME ONLY,FP,BILL SCHROEDER,89 MUSTANG,61.348, ,58.842, ,61.973, ,59.554, ,58.842, ,50.898,TO,846,,
27,TIME ONLY,SM2,JOHN CALLIE,94 HONDA DELSOL,DNF, ,60.757, ,61.506, ,82.105,-4,60.757, ,52.008,TO,828,,
28,TIME ONLY,CM,ALAN WAGSTAFFE,82 FF,71.497,-2,60.355, ,58.904, ,57.559, ,57.559, ,52.897,TO,814,,
