"Here are the results! We had 71 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event VI,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
,ESP,TIME ONLY,JEFF MAKOWSKI,94 VW JETTA,64.008,-2,60.986,,61.098,,62.766,(2),60.986,,50.374,TO,874,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,65.728,-4,62.762,,62.319,,61.551,,61.551,,50.903,TO,865,,
,SS,TIME ONLY,DAVID LEE,00 CORVETTE,61.650,,61.383,,61.136,,61.028,,61.028,,51.019,TO,863,,
,DSP,TIME ONLY,MICHAEL OBERSTAR,91 VW GTI,64.290,,63.653,,62.922,,62.404,,62.404,,51.171,TO,861,,
,GS,TIME ONLY,CHUCK LUBIN,02 SUBARU WRX,66.387,,65.505,,65.466,,65.566,,65.466,,51.391,TO,857,,
,SM2,TIME ONLY,ENRIQUE AVILES,82 MAZDA RX7,60.686,,67.307,-4,60.898,,60.161,,60.161,,51.498,TO,855,,
,SM,TIME ONLY,BRIAN PARKS,84 VW RABBIT 16V,63.132,,66.212,(2),63.118,,63.830,,63.118,,52.640,TO,837,,
,HS,TIME ONLY,OWEN GIBSON,89 MUSTANG,70.483,,68.475,,68.369,,68.401,,68.369,,53.259,TO,827,,
,SM,TIME ONLY,JOE DINUNZO,94 HONDA CIVIC,65.161,,65.659,,64.108,,66.195,,64.108,,53.466,TO,824,,
,ESP,TIME ONLY,JIM KNIBLOE,97 ECLIPSE,65.829,(2),75.267,-4,65.353,,66.353,-2,65.353,,53.982,TO,816,,
,ES,TIME ONLY,DON POSEY,81 DATSUN 280ZX,69.165,-2,67.658,,84.176,,67.930,,67.658,,54.262,TO,812,,
,AP,TIME ONLY,TOM HILL,84 FIERO,62.161,,68.871,-4,66.141,-2,66.049,-2,62.161,,54.329,TO,811,,
,ESP,TIME ONLY,JASON WATTS,89 MUSTANG,67.926,,66.306,,66.106,,67.124,,66.106,,54.604,TO,807,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CSP,TIME ONLY,ERIC WILLIAMS,95 MIATA,61.073,,60.408,,DNS,,DNS,,60.408,,50.864,N/A,,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,62.386,,66.224,(4),61.704,,DNS,,61.704,,51.029,N/A,,,
,BS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER 7,63.163,,63.228,,61.863,,62.512,,61.863,,51.161,N/A,,,
,ESP,TIME ONLY,JAMES KNIBLOE,97 ECLIPSE,65.226,(4),64.451,(4),63.118,(2),71.738,(4),63.118,,52.135,N/A,,,
,BM,TIME ONLY,ALEX MAC GILLAVRY,65 MALLOCK U2,79.733,(22),57.377,,55.802,,55.673,,55.673,,52.945,N/A,,,
,ESP,TIME ONLY,MATT EVANS,78 MALIBU,68.082,,65.99,,64.95,,65.166,,64.95,,53.649,N/A,,,
,CS,TIME ONLY,DAVID FELIX,94 MIATA,70.329,(4),92.525,(26),66.235,(2),84.197,(20),66.235,,53.783,N/A,,,
,SS,TIME ONLY,MARY SPARLING,01 BMW M3,70.656,,85.877,(20),83.064,(20),66.696,,66.696,,55.758,N/A,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
