"Here are the results! We had 102 racers for the Event, and 37 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
3,SM,OPEN,MIKE SHAPIRO,96 HONDA ACCORD,63.029,-4,75.685,(8),55.291, ,55.291,31,46.113,38,884,,,,
4,SM,OPEN,JEREMY HAYES,84 VW GTI,60.341,-2,57.776, ,57.555, ,57.555,52,48.001,58,850,,,,
1,SM2,OPEN,HARRY BERZES,94 MIATA,56.167,-2,53.042, ,56.350,-4,53.042,20,45.404,30,898,,,,
2,SM2,OPEN,BOB FRANCIS,99 MIATA,76.429,-20,64.365,-6,56.797, ,56.797,45,48.618, ,839,,,,
3,SM2,OPEN,ENRIQUE AVILES,82 MAZDA RX7,58.651, ,58.193, ,57.828, ,57.828,56,49.501,68,824,,,,
1,KTJ,OPEN,JESSE SMITH,?? ????,91.471,-20,59.366,-2,56.582, ,56.582,41,46.114,39,884,,,,
2,KTJ,OPEN,KAYLA SMITH,?? ????,63.518, ,64.286, ,61.169, ,61.169,78,49.853,72,818,,,,
1,HS,LADIES,PATRICIA ADELMAN,88 MAZDA 626,DNF, ,90.326,-20,62.793, ,62.793,81,48.916,64,834,,,,
2,CP,LADIES,RONDA SMITH,68 CAMARO,72.153,-4,59.068, ,57.979, ,57.979,58,49.514,69,824,,,,
3,CM,LADIES,SHERYL ZAVION,82 VAN DIEMEN FF,82.072,-20,78.568,-20,55.838, ,55.838,34,51.315,83,795,,,,
1,DS,NOVICE,MIKE QUIGLEY,02 SUBARU WRX,55.531, ,55.102, ,57.927,-2,55.102,29,43.971,17,928,,,,
2,FSP,NOVICE,JAMES FRINK,02 SUBARU WRX,55.821, ,79.803,-24,55.054, ,55.054,28,44.979,27,907,,,,
3,SM,NOVICE,DAVID HARSAY,00 MUSTANG GT,58.596,-2,54.253, ,58.826,-4,54.253,24,45.247,29,901,,,,
4,DS,NOVICE,ANDREW MCCUTCHEN,02 ACURA RSX TYPE S,63.941,-2,58.845, ,56.978, ,56.978,47,45.468,31,897,,,,
5,ESP,NOVICE,BILLY WEBSTER,99 DAKOTA PU,59.222, ,58.183, ,56.118, ,56.118,35,46.353,42,880,,,,
6,ESP,NOVICE,FRANK JUDNICH,01 PONTIAC GTP,DNF, ,60.393,-2,57.460, ,57.460,51,47.462,49,859,,,,
7,ES,NOVICE,JEREMY JONES,90 CIVIC Si,DNF, ,60.521, ,62.116,-2,60.521,73,48.538,61,840,,,,
8,ES,NOVICE,MATTHEW SMITH,93 MIATA,66.153, ,62.945, ,60.832, ,60.832,75,48.787,63,836,,,,
9,FS,NOVICE,KELLY LAMONT,02 CAMARO,66.906, ,82.308,-20,61.388, ,61.388,80,49.663,70,821,,,,
10,DSP,NOVICE,ANTONIO DOMINGUEZ,94 INTEGRA GSR,DNF, ,78.681,-4,60.911, ,60.911,76,49.947,74,817,,,,
11,HS,NOVICE,LEE MAYER,95 VW JETTA,66.523, ,65.731, ,64.152, ,64.152,86,49.974,75,816,,,,
12,GS,NOVICE,KIM SPARLING,02 SAAB 9-3,69.406, ,72.216,-6,63.681, ,63.681,85,49.990,77,816,,,,
13,DS,NOVICE,ZACH EARHART,02 SUBARU WRX,92.117,-20,63.931, ,62.997,-2,62.997,83,50.272,79,811,,,,
14,ESP,NOVICE,TRAVIS COLTON,78 MALIBU,62.905, ,62.068, ,61.028, ,61.028,77,50.409,80,809,,,,
15,ES,NOVICE,GREG TOY,86 TOYOTA MR2,68.925, ,64.887, ,62.947, ,62.947,82,50.483,81,808,,,,
16,SM2,NOVICE,JOHN CALLIE,94 HONDA DelSol,83.447,-20,61.190, ,61.194,-2,61.190,79,52.379,86,779,,,,
17,GS,NOVICE,JEFF YOST,02 CAVALIER Z24,95.551,-20,74.983,-2,72.940, ,72.940,91,57.258,89,712,,,,
18,DS,NOVICE,ERIC SHEEHAN,02 MINI COOPER S,DNF, ,DNF, ,79.959,(20),79.959,95,63.807,94,639,,,,
19,BSP,NOVICE,JIM COOK,?? FACTORY 5 RACER,82.198,-20,DNF, ,80.913,-20,80.913,96,67.967,96,600,,,,
20,FSP,NOVICE,ROBERT KUESTER,69 KARMAN GHIA,84.388,-20,85.346,-22,84.264,-20,84.264,97,68.844,97,592,,,,
21,DS,NOVICE,RICK SKOWRON,01 PRELUDE,DNF, ,DNF, ,DNF, ,DNF,102,,101,0,,,,
1,HS,DAILY,MATTHEW KOGAN,01 PONTIAC SUCKFIRE,58.979, ,58.443, ,57.033, ,57.033,48,44.429,22,918,,,,
2,AS,DAILY,JEFF WILLIAMS,00 BMW M ROADSTER,55.389, ,57.352, ,55.129, ,55.129,30,45.647,34,893,,,,
3,ESP,DAILY,LARRY PETRUCCI,99 FIREBIRD,65.387, ,56.183, ,57.588, ,56.183,39,46.407,43,879,,,,
4,FS,DAILY,JACK DRUMMOND,01 CAMARO Z28,59.366, ,DNF, ,58.221, ,58.221,60,47.101,44,866,,,,
5,GS,DAILY,MIKE MORZINSKI,00 INTEGRA,61.795, ,60.034, ,60.038, ,60.034,70,47.127,45,865,,,,
6,STX,DAILY,CHUCK LUBIN,02 SUBARU WRX,85.643,-22,63.215, ,59.572, ,59.572,64,47.717,53,855,,,,
7,DS,DAILY,JAY BALDUCCI,02 SUBARU WRX,59.945, ,65.218,-2,76.325,-20,59.945,68,47.836,56,853,,,,
8,ES,DAILY,ADAM RIVERA,77 VW SCIROCCO,67.363, ,60.952, ,59.675, ,59.675,67,47.859,57,852,,,,
9,CSP,DAILY,GREG PUHLER,98 INTEGRA TYPE R,57.241, ,65.383, ,57.412, ,57.241,50,48.197,59,846,,,,
10,ESP,DAILY,TRAVIS HIGGINS,00 DAKOTA PU,60.197, ,88.542,-20,59.592, ,59.592,66,49.223,67,829,,,,
11,ESP,DAILY,TROY BILSE,00 DAKOTA PU,81.744,-22,60.359,-2,60.153,-2,60.153,71,49.686,71,821,,,,
12,ASP,DAILY,WALTER STOSS,99 AUDI A4 QUATTRO,62.240, ,72.424,-2,60.720, ,60.720,74,51.369,84,794,,,,
13,FS,DAILY,SCOT HASTINGS,88 MUSTANG GT,DNF, ,64.274,-2,63.574,-2,63.574,84,51.431,85,793,,,,
14,BS,DAILY,JOHN FITCH,87 PORSCHE 911,78.150,-20,DNF, ,76.406,-20,76.406,92,63.188,93,645,,,,
1,STS,TIME ONLY,DAVID ROCK,00 CELICA GTS,52.218, ,73.917,-20,52.087, ,52.087, ,40.836,TO,999,,,,
2,STX,TIME ONLY,MARK GOERNER,01 INTEGRA TYPE R,51.797, ,54.968,-2,51.322, ,51.322, ,41.109,TO,992,,,,
3,STS,TIME ONLY,MARK EDDY,00 SUBARU IMPREZA,52.520, ,71.977,-20,53.428,-2,52.520, ,41.176,TO,991,,,,
4,STS,TIME ONLY,JONATHAN EDDY,00 SUBARU IMPREZA,52.738, ,53.040, ,53.217, ,52.738, ,41.347,TO,986,,,,
5,BS,TIME ONLY,MARC MCCOMBS,02 HONDA S2000,50.418, ,64.511,-6,56.991,-4,50.418, ,41.696,TO,978,,,,
6,DS,TIME ONLY,JAY BALDUCCI,02 SUBARU WRX,57.376,-2,54.826, ,53.322, ,53.322, ,42.551,TO,958,,,,
7,DP,TIME ONLY,DAVID LAHEY,94 MIATA,71.300,-20,50.181, ,53.772,-2,50.181, ,42.604,TO,957,,,,
8,GS,TIME ONLY,CHRIS SPARLING,02 SAAB 9-3,54.827, ,61.556, ,54.418, ,54.418, ,42.718,TO,955,,,,
9,SS,TIME ONLY,JOEL SCHOTZ,01 CORVETTE Z06,51.168, ,52.060,-2,53.069,-2,51.168, ,42.776,TO,953,,,,
10,BS,TIME ONLY,PAUL LIALIOS,03 NISSAN 350Z,51.778, ,54.321, ,51.841, ,51.778, ,42.820,TO,952,N/A,,,
11,ESP,TIME ONLY,ABRAHAM JONES,00 CAMARO SS,52.116, ,52.371, ,86.220,-24,52.116, ,43.048,TO,947,N/A,,,
12,STS,TIME ONLY,TODD LYDIC,00 TOYOTA CELICA GTS,59.557,-2,55.009, ,61.688,-6,55.009, ,43.127,TO,946,N/A,,,
13,BS,TIME ONLY,DAVE MCCOMBS,02 HONDA S2000,52.170, ,58.567, ,54.347,(2),52.170, ,43.145,TO,945,N/A,,,
14,BSP,TIME ONLY,NEWTON JOHNSON,91 CORVETTE ZR1,80.879,(28),51.813, ,51.919, ,51.813, ,43.523,TO,937,N/A,,,
15,CP,TIME ONLY,BILL SCHROEDER,91 MUSTANG GT,52.042, ,64.721,-6,51.899, ,51.899, ,44.322,TO,920,N/A,,,
16,ESP,TIME ONLY,DAVID MINGUS,00 DAKOTA PU,53.738, ,64.772,(6),62.593,(4),53.738, ,44.388,TO,919,N/A,,,
