"Here are the results! We had 67 racers for the Event, and 23 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,STS,TIME ONLY,DAVID ROCK,00 CELICA GTS,45.197,,44.738,,44.406,,44.406,TO,34.814,TO,1013,,,,
2,STS,TIME ONLY,JONATHAN EDDY,00 SUBARU IMPREZA,51.285,,45.864,,45.236,,45.236,TO,35.465,TO,994,,,,
3,BSP,TIME ONLY,NEWTON JOHNSON,91 CORVETTE ZR1,47.193,(4),43.094,,44.974,(2),43.094,TO,36.199,TO,974,,,,
4,STX,TIME ONLY,MARK GOERNER,01 INTEGRA TYPE R,46.924,,48.038,,45.653,,45.653,TO,36.568,TO,964,,,,
5,BS,TIME ONLY,DAVE SKULL,98 BMW M3,44.934,,46.115,,45.111,,44.934,TO,37.160,TO,949,,,,
6,ESP,TIME ONLY,ABRAHAM JONES,00 CAMARO SS,47.798,-2,45.759,,52.948,,45.759,TO,37.797,TO,933,,,,
7,AP,TIME ONLY,GREG DUNCAN,84 FIERO,44.865,,43.650,,43.715,,43.650,TO,38.150,TO,924,,,,
8,GS,TIME ONLY,CHRIS SPARLING,02 SAAB 9-3,48.649,,50.420,-2,48.982,,48.649,TO,38.189,TO,923,,,,
9,CS,TIME ONLY,JASON TRIBLE,00 MIATA,47.742,,49.449,,47.542,,47.542,TO,38.604,TO,913,,,,
10,BSP,TIME ONLY,BRIAN SIMON,75 DATSUN 280Z,46.328,,46.951,,47.254,,46.328,TO,38.916,TO,906,,,,
11,DM,TIME ONLY,JOE CURRY,63 SPITFIRE,45.953,,44.347,,43.546,,43.546,TO,38.930,TO,906,,,,
12,GS,TIME ONLY,RYAN CALHOON,90 CELICA GTS,56.163,-4,58.130,,49.892,,49.892,TO,39.165,TO,900,,,,
13,DSP,TIME ONLY,JEFF MAKOWSKI,94 VW JETTA,51.579,(2),48.711,,49.071,,48.711,TO,39.943,TO,883,,,,
14,ES,TIME ONLY,CARL KOCKE,85 TOYOTA MR2,52.565,,51.105,,50.104,,50.104,TO,40.183,TO,877,,,,
15,ES,TIME ONLY,JUSTIN FRANKLIN,91 TOYOTA MR2,52.022,,58.789,,50.333,,50.333,TO,40.367,TO,873,,,,
16,GS,TIME ONLY,TOM DONAHUE,88 LA BARRON,53.746,,53.655,,52.908,,52.908,TO,41.533,TO,849,,,,
17,DS,TIME ONLY,RICK SKOWRON,01 PRELUDE,54.368,,52.952,,53.021,-2,52.952,TO,42.256,TO,834,,,,
18,ES,TIME ONLY,JAMES BURTON,86 PORSCHE 944,73.127,(20),53.495,,57.567,(4),53.495,TO,42.903,TO,822,,,,
19,SM2,TIME ONLY,ENRIQUE AVILES,82 MAZDA RX-7,51.237,,50.158,,50.305,,50.158,TO,42.935,TO,821,,,,
20,CS,TIME ONLY,RALPH PRINCE,99 MIATA,54.932,,54.484,,54.654,,54.484,TO,44.241,TO,797,,,,
21,ES,TIME ONLY,JENNIFER FIORETTI,85 TOYOTA MR2,57.087,,57.432,,55.417,,55.417,TO,44.444,TO,793,,,,
22,ES,TIME ONLY,DON POSEY,81 DATSUN 280ZX,62.794,-2,55.716,,61.155,(4),55.716,TO,44.684,TO,789,,,,
23,HS,TIME ONLY,OWEN GIBSON,89 MUSTANG,59.613,-2,82.144,(22),80.017,-20,59.613,TO,46.439,TO,759,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CSP,TIME ONLY,ERIC WILLIAMS,95 MIATA,61.073,,60.408,,DNS,,DNS,,60.408,,50.864,N/A,,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,62.386,,66.224,(4),61.704,,DNS,,61.704,,51.029,N/A,,,
,BS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER 7,63.163,,63.228,,61.863,,62.512,,61.863,,51.161,N/A,,,
,ESP,TIME ONLY,JAMES KNIBLOE,97 ECLIPSE,65.226,(4),64.451,(4),63.118,(2),71.738,(4),63.118,,52.135,N/A,,,
,BM,TIME ONLY,ALEX MAC GILLAVRY,65 MALLOCK U2,79.733,(22),57.377,,55.802,,55.673,,55.673,,52.945,N/A,,,
,ESP,TIME ONLY,MATT EVANS,78 MALIBU,68.082,,65.99,,64.95,,65.166,,64.95,,53.649,N/A,,,
,CS,TIME ONLY,DAVID FELIX,94 MIATA,70.329,(4),92.525,(26),66.235,(2),84.197,(20),66.235,,53.783,N/A,,,
,SS,TIME ONLY,MARY SPARLING,01 BMW M3,70.656,,85.877,(20),83.064,(20),66.696,,66.696,,55.758,N/A,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
