"Results",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
RANK,CLASS,CATEGORY,NAME,CAR,RUN 1,,RUN 2,,RUN 3,,RUN 4,,BEST TIME,TIME RANK,PAX TIME,PAX RANK,CLS PTS,,
11,ES,DAILY,JACE KELLEY,98 ECLIPSE,71.929,,87.864,(20),68.841,,75.393,(2),68.841,78,55.21,75,792,,
12,DM,DAILY,ADAM RIVERA,77 VW SCIROCCO,75.521,(6),65.953,,101.103,(26),65.263,,65.263,68,58.345,83,750,,
13,ESP,DAILY,JASON WATTS,89 MUSTANG,DNF,,70.873,(2),71.192,,DNF,,70.873,81,58.541,84,747,,
1,STS,NOVICE,JASON BATTS,93 PRELUDE Si,67.326,(2),63.408,,DNF,,65.728,(2),63.408,61,49.712,39,880,,
2,SM2,NOVICE,BILL NEWTON,68 PORSCHE 912,58.421,,60.212,,59.006,,59.646,,58.421,30,50.008,41,875,,
3,FS,NOVICE,CHRIS CARROLL,01 COBRA,65.16,,64.118,,62.953,,86.538,(20),62.953,58,50.929,50,859,,
4,ES,NOVICE,ROB BITTNER,86 TOYOTA MR2,74.679,,65.162,,64.507,,63.745,,63.745,62,51.123,51,856,,
5,GS,NOVICE,SHAWN HERMANN,01 ECLIPSE,70.656,,68.038,,69.803,(2),65.412,,65.412,69,51.348,54,852,,
6,CS,NOVICE,DAVID FELIX,94 MIATA,89.02,(20),65.101,,64.328,,63.923,,63.923,63,51.905,59,843,,
7,HS,NOVICE,BART VAUGHN,01 VW GTI,69.243,,70.075,,68.957,,66.786,,66.786,75,52.026,60,841,,
8,DSP,NOVICE,GERRY REYNOLDS,88 BMW 325,65.993,,86.217,(20),64.544,,68.048,(2),64.544,66,52.926,65,827,,
9,ASP,NOVICE,DANNY CREEDON,91 TOYOTA MR2,85.768,(20),68.968,,72.815,,62.944,,62.944,57,53.251,67,822,,
10,FS,NOVICE,CHRISTOPHER LA FLUER,89 FIREBIRD,71.869,,68.817,,66.794,,66.999,,66.794,76,54.036,70,810,,
11,DSP,NOVICE,LARRY GOWEN,93 S10 PUP,87.702,(20),66.714,,66.551,,66.028,,66.028,73,54.143,71,808,,
12,DS,NOVICE,RICK SKOWRON,01 PRELUDE,120.011,,97.885,,73.765,,69.661,,69.661,79,55.589,77,787,,
13,ESP,NOVICE,MATT EVANS,78 MALIBU,71.54,,69.724,,68.742,,67.685,,67.685,77,55.908,78,783,,
14,HS,NOVICE,DEREK JONES,92 CELICA,95.043,(24),72.438,,89.528,(20),89.205,(20),72.438,84,56.429,79,775,,
15,GS,NOVICE,MIKE HARDY,83 TOYOTA SUPRA,97.148,(20),93.153,(20),DNF,,72.236,(2),72.236,83,56.705,80,772,,
16,CP,NOVICE,SEAN MARTINEZ,66 CHEVELLE,66.526,,70.814,(2),67.52,,DNF,,66.526,74,56.813,81,770,,
,STS,TIME ONLY,JONATHAN EDDY,00 IMPREZA,58.352,(2),55.409,,66.917,,60.631,(2),55.409,,43.441,N/A,,,
,FS,TIME ONLY,DON HYLAND,00 CAMARO,56.894,,55.368,,63.176,(4),54.591,,54.591,,44.164,N/A,,,
,GS,TIME ONLY,KRIS TVEDT,95 NEON,57.089,,58.691,(2),56.511,,56.607,,56.511,,44.361,N/A,,,
,SM,TIME ONLY,DAVE YOUNG,02 BMW M3,54.698,,53.715,,54.2,,56.203,(2),53.715,,44.798,N/A,,,
,STS,TIME ONLY,TOM MCINTYRE,98 SATURN SL2,57.93,,58.114,,62.296,(2),57.225,,57.225,,44.864,N/A,,,
,DS,TIME ONLY,JASON RUBIN,00 INTEGRA TYPE R,56.326,,57.069,,57.239,,56.617,,56.326,,44.948,N/A,,,
,BSP,TIME ONLY,MEWTON JOHNSON,91 CORVETTE,57.152,(2),54.086,,55.873,(2),57.733,(4),54.086,,45.432,N/A,,,
,AS,TIME ONLY,STEVE RYAN,91 CORVETTE,57.531,(4),55.633,(2),85.146,(28),55.268,(2),55.268,,45.762,N/A,,,
,SM,TIME ONLY,TRAVIS HIGDON,98 INTEGRA TYPE R,55.006,,55.243,,57.234,(2),55.273,,55.006,,45.875,N/A,,,
,ESP,TIME ONLY,RICHARD RIPPY,98 CAMARO,55.705,,57.174,(2),76.205,(20),DNF,,55.705,,46.012,N/A,,,
,BS,TIME ONLY,DAVE SKULL,98 BMW M3,56.319,,55.96,,56.05,,55.767,,55.767,,46.119,N/A, ,,
,STS,TIME ONLY,DAVID ROCK,00 CELICA GTS,59.072,(2),65.672,(6),59.601,(2),71.308,,59.072,,46.312,N/A,,,
,ES,TIME ONLY,TERRY KISE,84 MAZDA RX(7,63.671,(4),59.098,,59.096,,58.429,,58.429,,46.86,N/A,,,
,CP,TIME ONLY,BOB WALSH,99 MUSTANG,56.771,,DNF,,82.86,(24),55.535,,55.535,,47.427,N/A,,,
,ESP,TIME ONLY,DAVID MINGUS,00 DAKOTA PUP,57.82,,58.085,,58.087,,58.048,,57.82,,47.759,N/A,,,
,HS,TIME ONLY,BUD ADELMAN,88 MAZDA 626,72.054,,64.181,,63.574,(2),61.405,,61.405,,47.834,N/A,,,
,EM,TIME ONLY,DAN MACKEAN,71 DATSUN 240Z,60.612,(4),54.609,,56.402,(2),53.097,,53.097,,48,N/A,,,
,BS,TIME ONLY,ABRAHAM JONES,00 CAMARO SS,60.627,,67.005,,58.078,,DNF,,58.078,,48.031,N/A,,,
,STS,TIME ONLY,JASON BATTS,93 PRELUDE Si,62.364,,61.35,,DNF,,DNS,,61.35,,48.098,N/A,,,
,HS,TIME ONLY,CHRIS SPARLING,95 SAAB 900SE,66.534,(2),63.683,,62.328,,62.293,,62.293,,48.526,N/A,,,
,DM,TIME ONLY,JOE CURRY,63 SPITFIRE,55.372,,54.709,,DNS,,DNS,,54.709,,48.91,N/A,,,
,CS,TIME ONLY,JASON TRIBLE,00 MIATA,60.97,,62.735,(2),60.661,,61.202,,60.661,,49.257,N/A,,,
,EM,TIME ONLY,BRIAN MALM,90 CORVARRI,58.419,(2),55.321,,56.026,,DNS,,55.321,,50.01,N/A,,,
,ESP,TIME ONLY,STEVE FELDE,93 MUSTANG COBRA,61.535,,61.837,,62.834,,60.936,,60.936,,50.333,N/A,,,
,CSP,TIME ONLY,ERIC WILLIAMS,95 MIATA,61.073,,60.408,,DNS,,DNS,,60.408,,50.864,N/A,,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,62.386,,66.224,(4),61.704,,DNS,,61.704,,51.029,N/A,,,
,BS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER 7,63.163,,63.228,,61.863,,62.512,,61.863,,51.161,N/A,,,
,ESP,TIME ONLY,JAMES KNIBLOE,97 ECLIPSE,65.226,(4),64.451,(4),63.118,(2),71.738,(4),63.118,,52.135,N/A,,,
,BM,TIME ONLY,ALEX MAC GILLAVRY,65 MALLOCK U2,79.733,(22),57.377,,55.802,,55.673,,55.673,,52.945,N/A,,,
,ESP,TIME ONLY,MATT EVANS,78 MALIBU,68.082,,65.99,,64.95,,65.166,,64.95,,53.649,N/A,,,
,CS,TIME ONLY,DAVID FELIX,94 MIATA,70.329,(4),92.525,(26),66.235,(2),84.197,(20),66.235,,53.783,N/A,,,
,SS,TIME ONLY,MARY SPARLING,01 BMW M3,70.656,,85.877,(20),83.064,(20),66.696,,66.696,,55.758,N/A,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
