"Here are the results!. We had 104 racers for the Morning Event and 76 for the Afternoon Event.",,,,,,,,,,,,,,,,,,,
Morning Event,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
4,BS,LADIES,ADINA EVANSON,95 BMW M3,71.473,,64.317,,63.576,,63.576,94,52.577,94,759,,,,
1,BS,DAILY,TAGE EVANSON,95 BMW M3,55.516,(2),51.822,,53.48,(2),51.822,21,42.857,24,932,,,,
2,GS,DAILY,ART EHMAN,98 MAXIMA SE,60.194,,57.476,,56.684,,56.684,50,44.497,37,897,,,,
3,ESP,DAILY,BILL SCHROEDER,91 MUSTANG,61.839,,58.793,,57.271,,57.271,54,47.306,59,844,,,,
4,ESP,DAILY,DOUG EVANS,99 CAMARO Z28,62.261,,58.956,,57.514,,57.514,57,47.507,63,840,,,,
5,GS,DAILY,SPENCER YARTER,94 PONTIAC GP,63.496,,63.654,(2),61.315,,61.315,83,48.132,65,829,,,,
6,ESP,DAILY,STEVE FELDE,93 MUSTANG SVT COBRA,58.289,,DNF,,58.954,(2),58.289,63,48.147,66,829,,,,
7,HS,DAILY,BUD ADELMAN,88 MAZDA 626,67.654,,63.281,,62.036,,62.036,89,48.326,67,826,,,,
8,ESP,DAILY,KRIS WACHALA,91 MUSTANG,DNF,,62.453,,59.388,,59.388,68,49.054,74,814,,,,
9,HS,DAILY,NITIN PATEL,89 HONDA ACCORD,66.457,,64.928,,63.181,,63.181,93,49.218,76,811,,,,
10,BS,DAILY,PAUL LIALIAS,97 PORSCHE 944T,84.305,(20),61.42,,60.23,(2),60.23,75,49.81,80,802,,,,
11,BS,DAILY,TOM LIALIOS,87 PORSCHE 944T,61.564,,63.539,(2),60.363,,60.363,77,49.92,81,800,,,,
