Here are the results!,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts ,  
15,ASP,Mindi Cross,65 Lotus/Elan,74.740,(22),48.853, ,45.878,(2),114.264, ,45.878, ,39.363, ,911
16,AS,Bruce Patterson,03 Honda/S2000,47.267, ,47.990,(2),47.128,(2),49.134,(4),47.128, ,39.493, ,908
17,STU,Daniyar Murataliev,07 Speed3,48.185, ,49.009, ,48.534, ,48.858, ,48.185, ,39.560, ,906
18,CS,John Ellis,03 mazda/miata,49.108, ,48.390, ,48.537, ,50.726, ,48.390, ,39.777, ,902
19,STS,Dan Hawrylkiw,99 toyota Corolla,49.613, ,58.115, ,50.659, ,DNS, ,49.613, ,39.938, ,898
20,CS,Dave Hurt,04 Mazda Miata,50.049, ,48.769, ,59.449,(8),49.170, ,48.769, ,40.088, ,895
21,EM,Tom Hill,88 Pontiac/Cadero,46.295, ,46.183, ,45.947, ,47.781,(2),45.947, ,40.387, ,888
22,FS,Wayne Tiffin,06 Ford/Mustang GT,52.032, ,51.537, ,50.455, ,51.078, ,50.455, ,40.818, ,879
23,STU,Harry Steiner,07 Mazda/Speed 3,50.518, ,50.692, ,49.984, ,49.867, ,49.867, ,40.941, ,876
24,BSP,Chris Sugar,06 Subaru/STi,48.658, ,48.192, ,56.259, ,74.022,(20),48.192, ,41.108, ,872
25,ESP,Nathan Crum,05 Subaru/Outback XT,51.116, ,49.590, ,49.818, ,50.280, ,49.590, ,41.358, ,867
26,SS,Keith Lensch,01 Chevrolet/Corvette,49.113,(4),50.431,(4),71.954,(28),DNS, ,49.113, ,41.648, ,861
27,STS,Thayer Keller,84 Scirocco,52.273, ,52.577, ,51.988, ,52.323, ,51.988, ,41.850, ,857
28,CS,Jim Williamson,00 Mazda/Miata,51.506, ,51.008, ,51.731, ,51.482, ,51.008, ,41.929, ,855
29,GS,Denisa Casement,06 VW/GTi MKV,55.200, ,54.630, ,53.955, ,52.363, ,52.363, ,42.047, ,853
30,CS,Stuart Anderson,99 mazda/miata,52.362, ,51.195, ,51.564, ,52.066, ,51.195, ,42.082, ,852
31,ESP,Shannon Schofield,90 firebird,52.695, ,52.029, ,51.270, ,51.640, ,51.270, ,42.759, ,839
32,HS,Dave Hymers,93 saturn sl2,54.758, ,56.375, ,54.796, ,55.883, ,54.758, ,43.204, ,830
33,ASP,Chris Kissel,65 factory five/cobra (replica),52.218, ,55.482,(4),52.149, ,51.525, ,51.525, ,44.208, ,811
34,SS,Abram Young,00 Porsche/Carrera,53.757, ,53.110, ,53.354, ,53.144, ,53.110, ,45.037, ,796
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
