"Here are the results! We had 45 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
13,TO,SM2,Siho Lee,00 Toyota/MR2 Spyder,37.170, ,66.952,(28),35.962, ,63.098,(26),35.962, ,30.712, ,917,,
14,TO,DS,Amro Habib,05 Infiniti/G35 sedan,38.520, ,DNS, ,DNS, ,DNS, ,38.520, ,30.739, ,916,,
15,TO,STU,Mike Oswald,05 Subaru/WRX STi,38.343, ,37.880, ,37.606, ,38.299, ,37.606, ,30.837, ,913,,
16,TO,GS,Ian Whitehouse,93 Mazda/MX-6 LS,41.128, ,41.748,(2),39.109, ,42.713,(2),39.109, ,31.053, ,907,,
17,TO,SS,Newton Johnson,04 Corvette/Z06,37.121, ,41.940,(6),58.854,(22),37.902, ,37.121, ,31.182, ,903,,
18,TO,FP,Enrique Aviles,82 Mazda/RX-7,37.229, ,DNS, ,DNS, ,DNS, ,37.229, ,32.129, ,876,,
19,TO,SS,Elvis Presley,05 Lotus/Elise,38.254,(4),DNS, ,DNS, ,DNS, ,38.254, ,32.133, ,876,,
20,TO,SS,Tom Evans,05 Lotus/Elise,38.763,(2),DNS, ,DNS, ,DNS, ,38.763, ,32.561, ,865,,
21,TO,STU,Chris Sugar,06 Subaru/STi,61.752,(24),39.786, ,40.428,(2),40.248,(2),39.786, ,32.625, ,863,,
22,TO,DS,Tom Fellows,05 bmw/325I,40.956,(2),63.315,(22),DNS, ,DNS, ,40.956, ,32.683, ,862,,
23,TO,STS,Erich Eikenberry,00 Honda/Civic Si,41.271,(4),DNS, ,DNS, ,DNS, ,41.271, ,32.893, ,856,,
24,TO,HS,Andreea Danielescu,04 Mazda/3,42.362, ,42.257, ,DNS, ,DNS, ,42.257, ,32.960, ,854,,
25,TO,STS,Tyler Powell,97 Saturn/SL2,41.704, ,41.914, ,41.441, ,44.007,(2),41.441, ,33.028, ,853,,
26,TO,GS,Ruben Rodriguez,00 Toyota/Celica,43.813, ,42.027, ,45.006, ,44.146, ,42.027, ,33.369, ,844,,
27,TO,STS,Zach Fellows,05 Honda/Civic,42.220, ,44.392,(2),43.496, ,42.893, ,42.220, ,33.649, ,837,,
28,TO,HS,Sheila Rigg,04 Honda/Civic EX,43.483, ,45.365,(2),43.540, ,45.299, ,43.483, ,33.917, ,830,,
29,TO,ASP,Jamal Brewer,90 Nissan/300zx,41.455, ,39.891, ,40.067, ,39.817, ,39.817, ,33.924, ,830,,
