"Here are the results! We had 64 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
2,street,DS,William Blocker,05 Dodge/Neon SRT-4 ACR,105.568,(20),67.164, ,66.350, ,64.244, ,63.055, ,63.055,45,50.318,36,895
3,street,BSP,John Lawson,03 Nissan/350Z,63.935, ,60.441, ,61.892,(2),59.695, ,63.409,(4),59.695,24,50.323,37,895
4,street,FSP,Siho Lee,90 Subaru Legacy,67.557,(2),64.191, ,62.664, ,68.049,(4),64.262,(2),62.664,41,51.008,38,883
5,street,FSP,Shea Burns,90 Subaru/Legacy,85.828,(20),66.494,(2),63.606, ,63.838, ,68.747, ,63.606,50,51.775,44,870
6,street,ESP,Larry Peth,92 Mazda/MX-5 Miata,DNF, ,86.289,(20),66.285, ,66.383, ,64.375, ,64.375,51,53.303,53,845
7,street,AS,Stuart Anderson,04 Porsche/Boxster,89.378,(20),87.180,(20),67.173,(2),86.205,(20),64.852, ,64.852,52,53.892,55,836
1,TO,DS,Doug Rowse,03 BMW/330i,56.866, ,56.683, ,56.953, ,56.309, ,58.660,(2),56.309, ,44.935, ,1002
2,TO,SS,David Rock,01 Chevrolet/Corvette Z06,56.979,(2),54.825, ,53.958, ,53.613, ,54.266, ,53.613, ,45.035, ,1000
3,TO,AS,Rob Rockefeller,00 Honda/S2000,59.127,(4),54.306, ,55.463, ,54.409, ,54.527, ,54.306, ,45.128, ,998
4,TO,AS,Dave Mccombs,04 honda/s2000,55.224, ,57.309,(2),56.572,(2),54.607, ,56.694,(2),54.607, ,45.378, ,992
5,TO,STX,Mike Quigley,02 subaru/wrx,58.072, ,58.204, ,58.025, ,59.260,(2),56.761, ,56.761, ,45.636, ,987
6,TO,DS,David Vasquez,03 BMW/330i,59.575, ,58.413, ,80.364,(22),57.417, ,57.358, ,57.358, ,45.772, ,984
