"Here are the results! We had 52 competitors for the Event, and 46 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
19,TO,BSP,Susan Love,04 Mitsubishi/EVO,50.590, ,50.067, ,DNS, ,DNS, ,50.067, ,42.206, ,927,,
20,TO,HS,Dan Hawrylkiw,99 Toyota/Corolla,54.590, ,56.100, ,54.138, ,DNS, ,54.138, ,42.228, ,927,,
21,TO,DS,Amro Habib,05 INFINITI/G35 SEDAN,53.110, ,73.689,(20),54.587, ,57.283,(4),53.110, ,42.382, ,923,,
22,TO,STS,Erich Eikenberry,00 Honda/Civic Si,60.025,(2),53.203,(2),55.606,(4),53.425,(2),53.203, ,42.403, ,923,,
23,TO,AS,William Myers,00 Honda/S2000,77.417,(22),54.269,(2),51.194, ,DNS, ,51.194, ,42.542, ,920,,
24,TO,SM2,Dave Skull,91 Toyota/MR2 /T,49.850, ,DNS, ,DNS, ,DNS, ,49.850, ,42.572, ,919,,
25,TO,STX,Gary Ray,88 BMW/M3,54.091,(2),53.510,(2),53.030,(2),DNS, ,53.030, ,42.636, ,918,,
26,TO,AS,Bruce Patterson,03 Honda/S2000,51.385, ,55.323, ,54.922, ,56.371, ,51.385, ,42.701, ,916,,
27,TO,SM,Matthew Evans,98 Ford/Mustang GT,50.570, ,52.483,(2),DNS, ,DNS, ,50.570, ,42.732, ,916,,
28,TO,GS,Kim Sparling,02 Saab/9-3,55.532,(2),57.025,(2),57.284,(2),53.836, ,53.836, ,42.746, ,915,,
29,TO,STX,Ben Reidy,87 BMW/325is,55.648, ,55.157, ,55.549, ,53.286, ,53.286, ,42.842, ,913,,
30,TO,STU,Adrian Schumacher,05 Subaru/WRX STi,59.292,(4),57.407,(2),52.707, ,DNS, ,52.707, ,43.220, ,905,,
31,TO,CP,Jesse Smith,Chevy Camaro,50.981, ,52.775, ,DNS, ,DNS, ,50.981, ,43.640, ,897,,
32,TO,ASP,Kat Kemper,06 Chev/Corvette,52.269, ,51.900, ,51.440, ,58.198, ,51.440, ,43.827, ,893,,
33,TO,CS,John Ellis,03 mazda/miata,57.697,(4),54.742, ,54.082, ,DNS, ,54.082, ,43.969, ,890,,
34,TO,AS,Robb King,00 Honda/S2000,56.608,(2),54.151, ,54.422, ,DNS, ,54.151, ,44.999, ,870,,
35,TO,STX,Tyler Clodfelter,89 BMW/325is,58.975, ,57.636, ,77.863,(20),56.314, ,56.314, ,45.276, ,864,,
36,TO,BS,Bryan Clodfelter,88 BMW/M3,56.100, ,56.439, ,56.493, ,55.280, ,55.280, ,45.440, ,861,,
37,TO,STS,Daniel Estrada,99 VW,60.631, ,57.475, ,DNS, ,DNS, ,57.475, ,45.808, ,854,,
38,TO,AS,Mark Wilson,00 Chevrolet/Camaro,64.959,(4),58.357,(2),55.966,(2),55.846, ,55.846, ,46.408, ,843,,
39,TO,CS,Andy Mceldowney,06 Mazda/MX5,58.262, ,57.989, ,57.412, ,58.967, ,57.412, ,46.676, ,838,,
40,TO,AS,Doug Rasmussen,03 Honda/S2000,56.352, ,57.681,(2),57.312,(2),DNS, ,56.352, ,46.829, ,836,,
41,TO,ES,Ryan Mahadown,88 Mazda/RX-7,58.428, ,58.516, ,60.249, ,67.866,(6),58.428, ,47.093, ,831,,
42,TO,SM,Derreck Dixon,00 Acura/Integra Type R,56.473, ,57.497, ,56.624, ,55.783, ,55.783, ,47.137, ,830,,
43,TO,ASP,Bob Belman,05 Lotus/Elise,57.604,(2),55.522, ,57.774,(2),DNS, ,55.522, ,47.305, ,827,,
44,TO,GS,Mark Maxwell,04 Mini/Cooper S,62.536, ,60.496, ,60.947, ,59.869, ,59.869, ,47.536, ,823,,
45,TO,GS,Corey Hass,93 Mitsubishi/3000GT SL,62.314, ,60.510, ,60.453, ,DNS, ,60.453, ,48.000, ,815,,
46,TO,SM,Melinda Evans,98 Ford/Mustang GT,59.084, ,DNS, ,DNS, ,DNS, ,59.084, ,49.926, ,784,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
