"Here are the results! We had 67 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
29,TO,ASP,Gregory Brewer,90 Nissan/300ZX TT,65.391, ,83.439,(12),66.742, ,65.391, ,55.713, ,851,,,,
30,TO,ASP,Andreas Georgiades,05 Lotus/Elise,66.664, ,65.575, ,65.432, ,65.432, ,55.748, ,851,,,,
31,TO,FS,Matthew White,06 ford/mustang GT,74.450,(4),69.469, ,77.653,(6),69.469, ,55.923, ,848,,,,
32,TO,STS ,Jonathon Baler,87 Honda Prelude,70.518, ,71.417, ,79.898,(10),70.518, ,56.203, ,844,,,,
33,TO,GS,Ruben Pacheco,00 toyota/celica,70.845,(2),72.590,(4),89.487,(20),70.845, ,56.251, ,843,,,,
34,TO,AS,James Kendler,02 Porsche Boxster S/,68.732, ,68.688, ,67.995, ,67.995, ,56.504, ,840,,,,
35,TO,EM,Greg Duncan,84 Pontiac/Fiero,64.196,(6),75.098,(10),DNS, ,64.196, ,56.557, ,839,,,,
36,TO,CSP,Zach Heidepriem,94 Mazda/Miata,DNS, ,87.467,(20),67.757,(2),67.757, ,56.780, ,835,,,,
37,TO,ASP,Illona Bachi,98 Porsche/Boxster,69.074, ,78.737,(8),70.984,(2),69.074, ,58.851, ,806,,,,
38,TO,BP,Michael Wittkopf,86 Chevrolet/Corvette,DNS, ,DNS, ,DNS, ,999.000, ,861.138, ,55,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
